freq	Re	Im
2.7000000000000	-4.5008907920215	6.8354621767042
2.7100000000000	-4.3943493100414	6.8884857755755
2.7200000000000	-4.2895969231471	6.9410657839164
2.7300000000000	-4.1866134294872	6.9932087841222
2.7400000000000	-4.0853790934489	7.0449210636846
2.7500000000000	-3.9858746325156	7.0962086101699
2.7600000000000	-3.8880812036874	7.1470771067987
2.7700000000000	-3.7919803895187	7.1975319286461
2.7800000000000	-3.6975541838303	7.2475781394709
2.7900000000000	-3.6047849771501	7.2972204891809
2.8000000000000	-3.5136555419363	7.3464634119380
2.8100000000000	-3.4241490176372	7.3953110248982
2.8200000000000	-3.3362488956364	7.4437671275832
2.8300000000000	-3.2499390041334	7.4918352018720
2.8400000000000	-3.1652034930050	7.5395184126026
2.8500000000000	-3.0820268186910	7.5868196087657
2.8600000000000	-3.0003937291459	7.6337413252767
2.8700000000000	-2.9202892488927	7.6802857853028
2.8800000000000	-2.8416986642171	7.7264549031279
2.8900000000000	-2.7646075085299	7.7722502875302
2.9000000000000	-2.6890015479322	7.8176732456513
2.9100000000000	-2.6148667670053	7.8627247873323
2.9200000000000	-2.5421893548534	7.9074056298922
2.9300000000000	-2.4709556914172	7.9517162033240
2.9400000000000	-2.4011523340804	7.9956566558864
2.9500000000000	-2.3327660045836	8.0392268600617
2.9600000000000	-2.2657835762618	8.0824264188626
2.9700000000000	-2.2001920616174	8.1252546724573
2.9800000000000	-2.1359786002394	8.1677107050954
2.9900000000000	-2.0731304470786	8.2097933523098
3.0000000000000	-2.0116349610856	8.2515012083719
3.0100000000000	-1.9514795942186	8.2928326339818
3.0200000000000	-1.8926518808249	8.3337857641706
3.0300000000000	-1.8351394274006	8.3743585163976
3.0400000000000	-1.7789299027310	8.4145485988214
3.0500000000000	-1.7240110284138	8.4543535187298
3.0600000000000	-1.6703705697652	8.4937705911089
3.0700000000000	-1.6179963271109	8.5327969473360
3.0800000000000	-1.5668761274594	8.5714295439812
3.0900000000000	-1.5169978165594	8.6096651717021
3.1000000000000	-1.4683492513372	8.6475004642169
3.1100000000000	-1.4209182927150	8.6849319073436
3.1200000000000	-1.3746927988059	8.7219558480908
3.1300000000000	-1.3296606184843	8.7585685037875
3.1400000000000	-1.2858095853285	8.7947659712419
3.1500000000000	-1.2431275119326	8.8305442359147
3.1600000000000	-1.2016021845852	8.8658991810975
3.1700000000000	-1.1612213583099	8.9008265970857
3.1800000000000	-1.1219727522657	8.9353221903339
3.1900000000000	-1.0838440455028	8.9693815925859
3.2000000000000	-1.0468228730696	9.0030003699673
3.2100000000000	-1.0108968224670	9.0361740320332
3.2200000000000	-0.97605343044685	9.0688980407601
3.2300000000000	-0.94228018014814	9.1011678194741
3.2400000000000	-0.90956449856803	9.1329787617065
3.2500000000000	-0.87789375436239	9.1643262399673
3.2600000000000	-0.84725525597113	9.1952056144292
3.2700000000000	-0.81763625006325	9.2256122415140
3.2800000000000	-0.78902392029647	9.2555414823721
3.2900000000000	-0.76140538638608	9.2849887112486
3.3000000000000	-0.73476770347754	9.3139493237279
3.3100000000000	-0.70909786181708	9.3424187448482
3.3200000000000	-0.68438278671432	9.3703924370806
3.3300000000000	-0.66060933879108	9.3978659081632
3.3400000000000	-0.63776431450986	9.4248347187856
3.3500000000000	-0.61583444697552	9.4512944901145
3.3600000000000	-0.59480640700371	9.4772409111553
3.3700000000000	-0.57466680444888	9.5026697459430
3.3800000000000	-0.55540218978508	9.5275768405553
3.3900000000000	-0.53699905593195	9.5519581299428
3.4000000000000	-0.51944384031868	9.5758096445690
3.4100000000000	-0.50272292717814	9.5991275168564
3.4200000000000	-0.48682265006329	9.6219079874313
3.4300000000000	-0.47172929457786	9.6441474111632
3.4400000000000	-0.45742910131293	9.6658422629932
3.4500000000000	-0.44390826898116	9.6869891435476
3.4600000000000	-0.43115295773994	9.7075847845311
3.4700000000000	-0.41914929269463	9.7276260538965
3.4800000000000	-0.40788336757320	9.7471099607863
3.4900000000000	-0.39734124856294	9.7660336602432
3.5000000000000	-0.38750897830037	9.7843944576858
3.5100000000000	-0.37837258000468	9.8021898131472
3.5200000000000	-0.36991806174557	9.8194173452730
3.5300000000000	-0.36213142083604	9.8360748350778
3.5400000000000	-0.35499864834016	9.8521602294564
3.5500000000000	-0.34850573368679	9.8676716444509
3.5600000000000	-0.34263866937896	9.8826073682692
3.5700000000000	-0.33738345578978	9.8969658640570
3.5800000000000	-0.33272610603467	9.9107457724209
3.5900000000000	-0.32865265091070	9.9239459137041
3.6000000000000	-0.32514914389282	9.9365652900127
3.6100000000000	-0.32220166617787	9.9486030869957
3.6200000000000	-0.31979633176653	9.9600586753788
3.6300000000000	-0.31791929257354	9.9709316122517
3.6400000000000	-0.31655674355728	9.9812216421138
3.6500000000000	-0.31569492785886	9.9909286976776
3.6600000000000	-0.31532014194196	10.000052900433
3.6700000000000	-0.31541874072416	10.008594560978
3.6800000000000	-0.31597714269099	10.016554179111
3.6900000000000	-0.31698183498405	10.023932443699
3.7000000000000	-0.31841937845459	10.030730232319
3.7100000000000	-0.32027641267424	10.036948610675
3.7200000000000	-0.32253966089506	10.042588831799
3.7300000000000	-0.32519593495079	10.047652335039
3.7400000000000	-0.32823214009179	10.052140744840
3.7500000000000	-0.33163527974645	10.056055869323
3.7600000000000	-0.33539246020186	10.059399698663
3.7700000000000	-0.33949089519703	10.062174403279
3.7800000000000	-0.34391791042216	10.064382331836
3.7900000000000	-0.34866094791765	10.066026009069
3.8000000000000	-0.35370757036726	10.067108133432
3.8100000000000	-0.35904546527942	10.067631574584
