freq	A
2.7000000000000	0.8204806
2.7100000000000	0.8245540
2.7200000000000	0.8285600
2.7300000000000	0.8324988
2.7400000000000	0.8363707
2.7500000000000	0.8401761
2.7600000000000	0.8439152
2.7700000000000	0.8475883
2.7800000000000	0.8511959
2.7900000000000	0.8547384
2.8000000000000	0.8582161
2.8100000000000	0.8616296
2.8200000000000	0.8649792
2.8300000000000	0.8682655
2.8400000000000	0.8714890
2.8500000000000	0.8746502
2.8600000000000	0.8777496
2.8700000000000	0.8807879
2.8800000000000	0.8837655
2.8900000000000	0.8866831
2.9000000000000	0.8895412
2.9100000000000	0.8923406
2.9200000000000	0.8950817
2.9300000000000	0.8977653
2.9400000000000	0.9003919
2.9500000000000	0.9029623
2.9600000000000	0.9054771
2.9700000000000	0.9079369
2.9800000000000	0.9103424
2.9900000000000	0.9126944
3.0000000000000	0.9149934
3.0100000000000	0.9172402
3.0200000000000	0.9194355
3.0300000000000	0.9215800
3.0400000000000	0.9236743
3.0500000000000	0.9257191
3.0600000000000	0.9277153
3.0700000000000	0.9296633
3.0800000000000	0.9315641
3.0900000000000	0.9334182
3.1000000000000	0.9352263
3.1100000000000	0.9369892
3.1200000000000	0.9387075
3.1300000000000	0.9403819
3.1400000000000	0.9420132
3.1500000000000	0.9436020
3.1600000000000	0.9451490
3.1700000000000	0.9466549
3.1800000000000	0.9481203
3.1900000000000	0.9495460
3.2000000000000	0.9509325
3.2100000000000	0.9522806
3.2200000000000	0.9535909
3.2300000000000	0.9548641
3.2400000000000	0.9561008
3.2500000000000	0.9573017
3.2600000000000	0.9584673
3.2700000000000	0.9595984
3.2800000000000	0.9606955
3.2900000000000	0.9617593
3.3000000000000	0.9627904
3.3100000000000	0.9637893
3.3200000000000	0.9647567
3.3300000000000	0.9656932
3.3400000000000	0.9665993
3.3500000000000	0.9674757
3.3600000000000	0.9683229
3.3700000000000	0.9691414
3.3800000000000	0.9699319
3.3900000000000	0.9706948
3.4000000000000	0.9714307
3.4100000000000	0.9721402
3.4200000000000	0.9728238
3.4300000000000	0.9734819
3.4400000000000	0.9741152
3.4500000000000	0.9747241
3.4600000000000	0.9753090
3.4700000000000	0.9758706
3.4800000000000	0.9764093
3.4900000000000	0.9769255
3.5000000000000	0.9774198
3.5100000000000	0.9778925
3.5200000000000	0.9783442
3.5300000000000	0.9787753
3.5400000000000	0.9791862
3.5500000000000	0.9795774
3.5600000000000	0.9799493
3.5700000000000	0.9803023
3.5800000000000	0.9806369
3.5900000000000	0.9809534
3.6000000000000	0.9812522
3.6100000000000	0.9815337
3.6200000000000	0.9817984
3.6300000000000	0.9820465
3.6400000000000	0.9822785
3.6500000000000	0.9824947
3.6600000000000	0.9826956
3.6700000000000	0.9828814
3.6800000000000	0.9830524
3.6900000000000	0.9832091
3.7000000000000	0.9833518
3.7100000000000	0.9834808
3.7200000000000	0.9835964
3.7300000000000	0.9836989
3.7400000000000	0.9837887
3.7500000000000	0.9838660
3.7600000000000	0.9839312
3.7700000000000	0.9839846
3.7800000000000	0.9840264
3.7900000000000	0.9840569
3.8000000000000	0.9840764
3.8100000000000	0.9840852
3.8200000000000	0.9840835
3.8300000000000	0.9840716
3.8400000000000	0.9840498
3.8500000000000	0.9840183
3.8600000000000	0.9839774
3.8700000000000	0.9839273
3.8800000000000	0.9838682
3.8900000000000	0.9838004
3.9000000000000	0.9837241
3.9100000000000	0.9836395
3.9200000000000	0.9835469
3.9300000000000	0.9834464
3.9400000000000	0.9833384
3.9500000000000	0.9832229
3.9600000000000	0.9831002
3.9700000000000	0.9829705
3.9800000000000	0.9828339
3.9900000000000	0.9826907
4.0000000000000	0.9825411
4.0100000000000	0.9823853
4.0200000000000	0.9822233
4.0300000000000	0.9820554
4.0400000000000	0.9818819
4.0500000000000	0.9817027
4.0600000000000	0.9815182
4.0700000000000	0.9813284
4.0800000000000	0.9811335
4.0900000000000	0.9809337
4.1000000000000	0.9807291
4.1100000000000	0.9805199
4.1200000000000	0.9803063
4.1300000000000	0.9800883
4.1400000000000	0.9798661
4.1500000000000	0.9796398
4.1600000000000	0.9794096
4.1700000000000	0.9791756
4.1800000000000	0.9789380
4.1900000000000	0.9786968
4.2000000000000	0.9784521
4.2100000000000	0.9782042
4.2200000000000	0.9779531
4.2300000000000	0.9776989
4.2400000000000	0.9774417
4.2500000000000	0.9771817
4.2600000000000	0.9769190
4.2700000000000	0.9766536
4.2800000000000	0.9763857
4.2900000000000	0.9761153
4.3000000000000	0.9758426
4.3100000000000	0.9755677
4.3200000000000	0.9752906
4.3300000000000	0.9750115
4.3400000000000	0.9747304
4.3500000000000	0.9744474
4.3600000000000	0.9741626
4.3700000000000	0.9738761
4.3800000000000	0.9735880
4.3900000000000	0.9732983
4.4000000000000	0.9730072
4.4100000000000	0.9727146
4.4200000000000	0.9724208
4.4300000000000	0.9721257
4.4400000000000	0.9718294
4.4500000000000	0.9715320
4.4600000000000	0.9712336
4.4700000000000	0.9709342
4.4800000000000	0.9706339
4.4900000000000	0.9703328
4.5000000000000	0.9700308
4.5100000000000	0.9697282
4.5200000000000	0.9694249
4.5300000000000	0.9691210
4.5400000000000	0.9688165
4.5500000000000	0.9685115
4.5600000000000	0.9682061
4.5700000000000	0.9679003
4.5800000000000	0.9675942
4.5900000000000	0.9672878
4.6000000000000	0.9669812
4.6100000000000	0.9666743
4.6200000000000	0.9663673
4.6300000000000	0.9660603
4.6400000000000	0.9657531
4.6500000000000	0.9654460
4.6600000000000	0.9651388
4.6700000000000	0.9648318
4.6800000000000	0.9645249
