#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Frequency / GHz"	"SZmax(2),Zmax(1) [Magnitude / dB]"
#-----------------------------------------------------
2.7000000000000	-74.199333486883
2.7100000000000	-74.177458743434
2.7200000000000	-74.156083157306
2.7300000000000	-74.135208771882
2.7400000000000	-74.114837131737
2.7500000000000	-74.094969296689
2.7600000000000	-74.075605856040
2.7700000000000	-74.056746942956
2.7800000000000	-74.038392248972
2.7900000000000	-74.020541038580
2.8000000000000	-74.003192163892
2.8100000000000	-73.986344079337
2.8200000000000	-73.969994856372
2.8300000000000	-73.954142198180
2.8400000000000	-73.938783454341
2.8500000000000	-73.923915635433
2.8600000000000	-73.909535427572
2.8700000000000	-73.895639206833
2.8800000000000	-73.882223053561
2.8900000000000	-73.869282766547
2.9000000000000	-73.856813877032
2.9100000000000	-73.844811662556
2.9200000000000	-73.833271160596
2.9300000000000	-73.822187182014
2.9400000000000	-73.811554324279
2.9500000000000	-73.801366984453
2.9600000000000	-73.791619371937
2.9700000000000	-73.782305520956
2.9800000000000	-73.773419302782
2.9900000000000	-73.764954437675
3.0000000000000	-73.756904506546
3.0100000000000	-73.749262962323
3.0200000000000	-73.742023141022
3.0300000000000	-73.735178272513
3.0400000000000	-73.728721490980
3.0500000000000	-73.722645845066
3.0600000000000	-73.716944307706
3.0700000000000	-73.711609785643
3.0800000000000	-73.706635128619
3.0900000000000	-73.702013138260
3.1000000000000	-73.697736576628
3.1100000000000	-73.693798174465
3.1200000000000	-73.690190639114
3.1300000000000	-73.686906662132
3.1400000000000	-73.683938926579
3.1500000000000	-73.681280114012
3.1600000000000	-73.678922911163
3.1700000000000	-73.676860016318
3.1800000000000	-73.675084145403
3.1900000000000	-73.673588037769
3.2000000000000	-73.672364461698
3.2100000000000	-73.671406219624
3.2200000000000	-73.670706153078
3.2300000000000	-73.670257147361
3.2400000000000	-73.670052135957
3.2500000000000	-73.670084104689
3.2600000000000	-73.670346095619
3.2700000000000	-73.670831210711
3.2800000000000	-73.671532615253
3.2900000000000	-73.672443541050
3.3000000000000	-73.673557289395
3.3100000000000	-73.674867233823
3.3200000000000	-73.676366822657
3.3300000000000	-73.678049581351
3.3400000000000	-73.679909114643
3.3500000000000	-73.681939108513
3.3600000000000	-73.684133331970
3.3700000000000	-73.686485638658
3.3800000000000	-73.688989968297
3.3900000000000	-73.691640347968
3.4000000000000	-73.694430893243
3.4100000000000	-73.697355809165
3.4200000000000	-73.700409391092
3.4300000000000	-73.703586025411
3.4400000000000	-73.706880190113
3.4500000000000	-73.710286455259
3.4600000000000	-73.713799483326
3.4700000000000	-73.717414029437
3.4800000000000	-73.721124941501
3.4900000000000	-73.724927160240
3.5000000000000	-73.728815719135
3.5100000000000	-73.732785744272
3.5200000000000	-73.736832454119
3.5300000000000	-73.740951159208
3.5400000000000	-73.745137261764
3.5500000000000	-73.749386255243
3.5600000000000	-73.753693723824
3.5700000000000	-73.758055341829
3.5800000000000	-73.762466873090
3.5900000000000	-73.766924170267
3.6000000000000	-73.771423174111
3.6100000000000	-73.775959912687
3.6200000000000	-73.780530500553
3.6300000000000	-73.785131137900
3.6400000000000	-73.789758109657
3.6500000000000	-73.794407784566
3.6600000000000	-73.799076614223
3.6700000000000	-73.803761132098
3.6800000000000	-73.808457952526
3.6900000000000	-73.813163769679
3.7000000000000	-73.817875356515
3.7100000000000	-73.822589563721
3.7200000000000	-73.827303318622
3.7300000000000	-73.832013624097
3.7400000000000	-73.836717557473
3.7500000000000	-73.841412269410
3.7600000000000	-73.846094982782
3.7700000000000	-73.850762991553
3.7800000000000	-73.855413659644
3.7900000000000	-73.860044419801
3.8000000000000	-73.864652772460
3.8100000000000	-73.869236284612
3.8200000000000	-73.873792588671
3.8300000000000	-73.878319381339
3.8400000000000	-73.882814422480
3.8500000000000	-73.887275533994
3.8600000000000	-73.891700598698
3.8700000000000	-73.896087559211
3.8800000000000	-73.900434416849
3.8900000000000	-73.904739230525
3.9000000000000	-73.909000115656
3.9100000000000	-73.913215243079
3.9200000000000	-73.917382837981
3.9300000000000	-73.921501178831
3.9400000000000	-73.925568596329
3.9500000000000	-73.929583472362
3.9600000000000	-73.933544238972
3.9700000000000	-73.937449377334
3.9800000000000	-73.941297416749
3.9900000000000	-73.945086933647
4.0000000000000	-73.948816550602
4.0100000000000	-73.952484935361
4.0200000000000	-73.956090799883
4.0300000000000	-73.959632899393
4.0400000000000	-73.963110031453
4.0500000000000	-73.966521035035
4.0600000000000	-73.969864789620
4.0700000000000	-73.973140214301
4.0800000000000	-73.976346266907
4.0900000000000	-73.979481943131
4.1000000000000	-73.982546275681
4.1100000000000	-73.985538333441
4.1200000000000	-73.988457220641
4.1300000000000	-73.991302076049
4.1400000000000	-73.994072072168
4.1500000000000	-73.996766414452
4.1600000000000	-73.999384340535
4.1700000000000	-74.001925119468
4.1800000000000	-74.004388050977
4.1900000000000	-74.006772464728
4.2000000000000	-74.009077719606
4.2100000000000	-74.011303203010
4.2200000000000	-74.013448330158
4.2300000000000	-74.015512543405
4.2400000000000	-74.017495311574
4.2500000000000	-74.019396129300
4.2600000000000	-74.021214516386
4.2700000000000	-74.022950017166
4.2800000000000	-74.024602199893
4.2900000000000	-74.026170656123
4.3000000000000	-74.027655000124
4.3100000000000	-74.029054868284
4.3200000000000	-74.030369918546
4.3300000000000	-74.031599829839
4.3400000000000	-74.032744301529
4.3500000000000	-74.033803052877
4.3600000000000	-74.034775822513
4.3700000000000	-74.035662367911
4.3800000000000	-74.036462464889
4.3900000000000	-74.037175907101
4.4000000000000	-74.037802505557
4.4100000000000	-74.038342088140
4.4200000000000	-74.038794499141
4.4300000000000	-74.039159598797
4.4400000000000	-74.039437262847
4.4500000000000	-74.039627382086
4.4600000000000	-74.039729861942
4.4700000000000	-74.039744622046
4.4800000000000	-74.039671595828
4.4900000000000	-74.039510730109
4.5000000000000	-74.039261984703
4.5100000000000	-74.038925332039
4.5200000000000	-74.038500756775
4.5300000000000	-74.037988255429
4.5400000000000	-74.037387836020
4.5500000000000	-74.036699517712
4.5600000000000	-74.035923330467
4.5700000000000	-74.035059314707
4.5800000000000	-74.034107520980
4.5900000000000	-74.033068009641
4.6000000000000	-74.031940850529
4.6100000000000	-74.030726122661
4.6200000000000	-74.029423913928
4.6300000000000	-74.028034320796
4.6400000000000	-74.026557448024
4.6500000000000	-74.024993408370
4.6600000000000	-74.023342322324
4.6700000000000	-74.021604317833
4.6800000000000	-74.019779530036
4.6900000000000	-74.017868101009
4.7000000000000	-74.015870179511
4.7100000000000	-74.013785920738
4.7200000000000	-74.011615486079
4.7300000000000	-74.009359042889
4.7400000000000	-74.007016764250
4.7500000000000	-74.004588828754
4.7600000000000	-74.002075420280
4.7700000000000	-73.999476727779
4.7800000000000	-73.996792945073
4.7900000000000	-73.994024270640
4.8000000000000	-73.991170907426
4.8100000000000	-73.988233062642
4.8200000000000	-73.985210947581
4.8300000000000	-73.982104777430
4.8400000000000	-73.978914771090
4.8500000000000	-73.975641151002
4.8600000000000	-73.972284142972
4.8700000000000	-73.968843976006
4.8800000000000	-73.965320882148
4.8900000000000	-73.961715096318
4.9000000000000	-73.958026856160
4.9100000000000	-73.954256401886
4.9200000000000	-73.950403976135
4.9300000000000	-73.946469823824
4.9400000000000	-73.942454192012
4.9500000000000	-73.938357329762
4.9600000000000	-73.934179488006
4.9700000000000	-73.929920919420
4.9800000000000	-73.925581878297
4.9900000000000	-73.921162620422
5.0000000000000	-73.916663402954
5.0100000000000	-73.912084484313
5.0200000000000	-73.907426124060
5.0300000000000	-73.902688582797
5.0400000000000	-73.897872122050
5.0500000000000	-73.892977004173
5.0600000000000	-73.888003492243
5.0700000000000	-73.882951849962
5.0800000000000	-73.877822341563
5.0900000000000	-73.872615231717
5.1000000000000	-73.867330785443
