freq	A
2.7000000000000	0.812232
2.7100000000000	0.816457
2.7200000000000	0.820616
2.7300000000000	0.824707
2.7400000000000	0.828732
2.7500000000000	0.832690
2.7600000000000	0.836582
2.7700000000000	0.840407
2.7800000000000	0.844167
2.7900000000000	0.847861
2.8000000000000	0.851489
2.8100000000000	0.855053
2.8200000000000	0.858553
2.8300000000000	0.861988
2.8400000000000	0.865359
2.8500000000000	0.868667
2.8600000000000	0.871912
2.8700000000000	0.875095
2.8800000000000	0.878216
2.8900000000000	0.881276
2.9000000000000	0.884275
2.9100000000000	0.887214
2.9200000000000	0.890093
2.9300000000000	0.892913
2.9400000000000	0.895675
2.9500000000000	0.898378
2.9600000000000	0.901025
2.9700000000000	0.903615
2.9800000000000	0.906149
2.9900000000000	0.908627
3.0000000000000	0.911051
3.0100000000000	0.913421
3.0200000000000	0.915738
3.0300000000000	0.918002
3.0400000000000	0.920214
3.0500000000000	0.922375
3.0600000000000	0.924485
3.0700000000000	0.926545
3.0800000000000	0.928556
3.0900000000000	0.930518
3.1000000000000	0.932433
3.1100000000000	0.934301
3.1200000000000	0.936122
3.1300000000000	0.937897
3.1400000000000	0.939627
3.1500000000000	0.941313
3.1600000000000	0.942955
3.1700000000000	0.944555
3.1800000000000	0.946112
3.1900000000000	0.947627
3.2000000000000	0.949101
3.2100000000000	0.950536
3.2200000000000	0.951930
3.2300000000000	0.953286
3.2400000000000	0.954604
3.2500000000000	0.955883
3.2600000000000	0.957126
3.2700000000000	0.958333
3.2800000000000	0.959504
3.2900000000000	0.960640
3.3000000000000	0.961742
3.3100000000000	0.962810
3.3200000000000	0.963845
3.3300000000000	0.964848
3.3400000000000	0.965818
3.3500000000000	0.966757
3.3600000000000	0.967666
3.3700000000000	0.968544
3.3800000000000	0.969393
3.3900000000000	0.970213
3.4000000000000	0.971004
3.4100000000000	0.971768
3.4200000000000	0.972505
3.4300000000000	0.973214
3.4400000000000	0.973898
3.4500000000000	0.974555
3.4600000000000	0.975188
3.4700000000000	0.975796
3.4800000000000	0.976380
3.4900000000000	0.976940
3.5000000000000	0.977477
3.5100000000000	0.977992
3.5200000000000	0.978484
3.5300000000000	0.978954
3.5400000000000	0.979404
3.5500000000000	0.979832
3.5600000000000	0.980240
3.5700000000000	0.980629
3.5800000000000	0.980997
3.5900000000000	0.981347
3.6000000000000	0.981678
3.6100000000000	0.981991
3.6200000000000	0.982287
3.6300000000000	0.982564
3.6400000000000	0.982825
3.6500000000000	0.983069
3.6600000000000	0.983297
3.6700000000000	0.983509
3.6800000000000	0.983706
3.6900000000000	0.983888
3.7000000000000	0.984054
3.7100000000000	0.984207
3.7200000000000	0.984345
3.7300000000000	0.984469
3.7400000000000	0.984580
3.7500000000000	0.984678
3.7600000000000	0.984763
3.7700000000000	0.984836
3.7800000000000	0.984896
3.7900000000000	0.984945
3.8000000000000	0.984982
3.8100000000000	0.985007
3.8200000000000	0.985022
3.8300000000000	0.985026
3.8400000000000	0.985020
3.8500000000000	0.985003
3.8600000000000	0.984976
3.8700000000000	0.984940
3.8800000000000	0.984894
3.8900000000000	0.984839
3.9000000000000	0.984775
3.9100000000000	0.984703
3.9200000000000	0.984622
3.9300000000000	0.984532
3.9400000000000	0.984435
3.9500000000000	0.984330
3.9600000000000	0.984217
3.9700000000000	0.984097
3.9800000000000	0.983970
3.9900000000000	0.983835
4.0000000000000	0.983694
4.0100000000000	0.983547
4.0200000000000	0.983393
4.0300000000000	0.983232
4.0400000000000	0.983066
4.0500000000000	0.982894
4.0600000000000	0.982716
4.0700000000000	0.982533
4.0800000000000	0.982344
4.0900000000000	0.982150
4.1000000000000	0.981951
4.1100000000000	0.981748
4.1200000000000	0.981539
4.1300000000000	0.981326
4.1400000000000	0.981109
4.1500000000000	0.980887
4.1600000000000	0.980661
4.1700000000000	0.980431
4.1800000000000	0.980197
4.1900000000000	0.979960
4.2000000000000	0.979719
4.2100000000000	0.979474
4.2200000000000	0.979226
4.2300000000000	0.978975
4.2400000000000	0.978721
4.2500000000000	0.978464
4.2600000000000	0.978204
4.2700000000000	0.977941
4.2800000000000	0.977675
4.2900000000000	0.977407
4.3000000000000	0.977136
4.3100000000000	0.976863
4.3200000000000	0.976588
4.3300000000000	0.976310
4.3400000000000	0.976031
4.3500000000000	0.975749
4.3600000000000	0.975466
4.3700000000000	0.975181
4.3800000000000	0.974894
4.3900000000000	0.974605
4.4000000000000	0.974315
4.4100000000000	0.974023
4.4200000000000	0.973730
4.4300000000000	0.973436
4.4400000000000	0.973141
4.4500000000000	0.972844
4.4600000000000	0.972546
4.4700000000000	0.972247
4.4800000000000	0.971947
