freq	z_Re	z_Im
2.7000000000000	1.7020274038214	-1.0397224874842
2.7100000000000	1.7096963573280	-1.0167171873792
2.7200000000000	1.7165198694761	-0.99373214068955
2.7300000000000	1.7225114298540	-0.97080710109912
2.7400000000000	1.7276867252094	-0.94798017158577
2.7500000000000	1.7320634539840	-0.92528767932869
2.7600000000000	1.7356611355768	-0.90276407170277
2.7700000000000	1.7385009167674	-0.88044183307033
2.7800000000000	1.7406053775841	-0.85835142180443
2.7900000000000	1.7419983387210	-0.83652122673750
2.8000000000000	1.7427046724106	-0.81497754202458
2.8100000000000	1.7427501184443	-0.79374455924426
2.8200000000000	1.7421611068095	-0.77284437543099
2.8300000000000	1.7409645881876	-0.75229701563865
2.8400000000000	1.7391878733342	-0.73212046857591
2.8500000000000	1.7368584821463	-0.71233073382489
2.8600000000000	1.7340040030162	-0.69294187915368
2.8700000000000	1.7306519628797	-0.67396610645728
2.8800000000000	1.7268297081877	-0.65541382490554
2.8900000000000	1.7225642968746	-0.63729372993919
2.9000000000000	1.7178824012507	-0.61961288683007
2.9100000000000	1.7128102216266	-0.60237681760878
2.9200000000000	1.7073734103700	-0.58558959025620
2.9300000000000	1.7015970060084	-0.56925390915404
2.9400000000000	1.6955053769223	-0.55337120589067
2.9500000000000	1.6891221741149	-0.53794172961875
2.9600000000000	1.6824702925082	-0.52296463626112
2.9700000000000	1.6755718401847	-0.50843807595667
2.9800000000000	1.6684481149789	-0.49435927823022
2.9900000000000	1.6611195878192	-0.48072463445612
3.0000000000000	1.6536058922199	-0.46752977726622
3.0100000000000	1.6459258193383	-0.45476965662650
3.0200000000000	1.6380973180247	-0.44243861237421
3.0300000000000	1.6301374993169	-0.43053044306806
3.0400000000000	1.6220626448560	-0.41903847105824
3.0500000000000	1.6138882187272	-0.40795560373062
3.0600000000000	1.6056288822622	-0.39727439092116
3.0700000000000	1.5972985113682	-0.38698707853234
3.0800000000000	1.5889102159835	-0.37708565841365
3.0900000000000	1.5804763612904	-0.36756191459375
3.1000000000000	1.5720085903476	-0.35840746597230
3.1100000000000	1.5635178478359	-0.34961380559645
3.1200000000000	1.5550144046411	-0.34117233665948
3.1300000000000	1.5465078830258	-0.33307440536900
3.1400000000000	1.5380072821690	-0.32531133083833
3.1500000000000	1.5295210038781	-0.31787443215927
3.1600000000000	1.5210568783021	-0.31075505281596
3.1700000000000	1.5126221894959	-0.30394458259983
3.1800000000000	1.5042237007060	-0.29743447718405
3.1900000000000	1.4958676792685	-0.29121627551291
3.2000000000000	1.4875599210247	-0.28528161515803
3.2100000000000	1.4793057741762	-0.27962224578800
3.2200000000000	1.4711101625172	-0.27423004089317
3.2300000000000	1.4629776079902	-0.26909700790104
3.2400000000000	1.4549122525268	-0.26421529681162
3.2500000000000	1.4469178791423	-0.25957720747543
3.2600000000000	1.4389979322637	-0.25517519563054
3.2700000000000	1.4311555372759	-0.25100187780786
3.2800000000000	1.4233935192804	-0.24705003520788
3.2900000000000	1.4157144210658	-0.24331261664496
3.3000000000000	1.4081205202919	-0.23978274064938
3.3100000000000	1.4006138458988	-0.23645369681078
3.3200000000000	1.3931961937500	-0.23331894644104
3.3300000000000	1.3858691415263	-0.23037212262844
3.3400000000000	1.3786340628874	-0.22760702975012
3.3500000000000	1.3714921409201	-0.22501764250402
3.3600000000000	1.3644443808951	-0.22259810451693
3.3700000000000	1.3574916223544	-0.22034272658069
3.3800000000000	1.3506345505517	-0.21824598456386
3.3900000000000	1.3438737072709	-0.21630251704253
3.4000000000000	1.3372095010461	-0.21450712268965
3.4100000000000	1.3306422168073	-0.21285475745921
3.4200000000000	1.3241720249766	-0.21134053159766
3.4300000000000	1.3177989900396	-0.20995970651252
3.4400000000000	1.3115230786136	-0.20870769152468
3.4500000000000	1.3053441670393	-0.20758004052870
3.4600000000000	1.2992620485159	-0.20657244858276
3.4700000000000	1.2932764398038	-0.20568074844756
3.4800000000000	1.2873869875163	-0.20490090709178
3.4900000000000	1.2815932740207	-0.20422902217938
3.5000000000000	1.2758948229698	-0.20366131855254
3.5100000000000	1.2702911044829	-0.20319414472251
3.5200000000000	1.2647815399961	-0.20282396937882
3.5300000000000	1.2593655067981	-0.20254737792653
3.5400000000000	1.2540423422716	-0.20236106905945
3.5500000000000	1.2488113478535	-0.20226185137664
3.5600000000000	1.2436717927338	-0.20224664004807
3.5700000000000	1.2386229173035	-0.20231245353484
3.5800000000000	1.2336639363709	-0.20245641036830
3.5900000000000	1.2287940421558	-0.20267572599164
3.6000000000000	1.2240124070773	-0.20296770966712
3.6100000000000	1.2193181863462	-0.20332976145129
3.6200000000000	1.2147105203741	-0.20375936924009
3.6300000000000	1.2101885370110	-0.20425410588532
3.6400000000000	1.2057513536200	-0.20481162638340
3.6500000000000	1.2013980790015	-0.20542966513716
3.6600000000000	1.1971278151744	-0.20610603329091
3.6700000000000	1.1929396590237	-0.20683861613877
3.6800000000000	1.1888327038237	-0.20762537060617
3.6900000000000	1.1848060406433	-0.20846432280387
3.7000000000000	1.1808587596423	-0.20935356565395
3.7100000000000	1.1769899512641	-0.21029125658695
3.7200000000000	1.1731987073334	-0.21127561530913
3.7300000000000	1.1694841220630	-0.21230492163880
3.7400000000000	1.1658452929776	-0.21337751341046
3.7500000000000	1.1622813217583	-0.21449178444557
3.7600000000000	1.1587913150146	-0.21564618258844
3.7700000000000	1.1553743849872	-0.21683920780594
3.7800000000000	1.1520296501874	-0.21806941034946
3.7900000000000	1.1487562359774	-0.21933538897774
3.8000000000000	1.1455532750943	-0.22063578923891
