#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"R_Zmax(1),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
26959753.417266	-13.005504811431
26984019.621962	-13.015237337005
27008329.549550	-13.024706525838
27032683.318305	-13.033913606029
27057081.046931	-13.042859847116
27081522.854562	-13.051546559359
27106008.860759	-13.059975093003
27130539.185520	-13.068146837519
27155113.949275	-13.076063220839
27179733.272892	-13.083725708561
27204397.277677	-13.091135803146
27229106.085377	-13.098295043104
27253859.818182	-13.105205002154
27278658.598726	-13.111867288387
27303502.550091	-13.118283543403
27328391.795807	-13.124455441449
27353326.459854	-13.130384688534
27378306.666667	-13.136073021550
27403332.541133	-13.141522207371
27428404.208600	-13.146734041953
27453521.794872	-13.151710349428
27478685.426214	-13.156452981183
27503895.229358	-13.160963814951
27529151.331497	-13.165244753877
27554453.860294	-13.169297725602
27579802.943882	-13.173124681333
27605198.710866	-13.176727594911
27630641.290323	-13.180108461886
27656130.811808	-13.183269298589
27681667.405355	-13.186212141200
27707251.201479	-13.188939044828
27732882.331175	-13.191452082587
27758560.925926	-13.193753344675
27784287.117702	-13.195844937463
27810061.038961	-13.197728982582
27835882.822656	-13.199407616022
27861752.602230	-13.200882987231
27887670.511628	-13.202157258228
27913636.685289	-13.203232602717
27939651.258155	-13.204111205211
27965714.365672	-13.204795260170
27991826.143791	-13.205286971138
28017986.728972	-13.205588549902
28044196.258185	-13.205702215649
28070454.868914	-13.205630194142
28096762.699157	-13.205374716906
28123119.887430	-13.204938020422
28149526.572770	-13.204322345338
28175982.894737	-13.203529935688
28202488.993415	-13.202563038125
28229045.009416	-13.201423901170
28255651.083883	-13.200114774470
28282307.358491	-13.198637908073
28309013.975449	-13.196995551715
28335771.077505	-13.195189954123
28362578.807947	-13.193223362327
28389437.310606	-13.191098020999
28416346.729858	-13.188816171790
28443307.210626	-13.186380052697
28470318.898386	-13.183791897433
28497381.939163	-13.181053934825
28524496.479543	-13.178168388213
28551662.666667	-13.175137474874
28578880.648236	-13.171963405462
28606150.572519	-13.168648383454
28633472.588348	-13.165194604625
28660846.845124	-13.161604256524
28688273.492823	-13.157879517977
28715752.681992	-13.154022558601
28743284.563758	-13.150035538331
28770869.289827	-13.145920606968
28798507.012488	-13.141679903735
28826197.884615	-13.137315556857
28853942.059673	-13.132829683146
28881739.691715	-13.128224387612
28909590.935391	-13.123501763076
28937495.945946	-13.118663889813
28965454.879227	-13.113712835194
28993467.891683	-13.108650653353
29021535.140368	-13.103479384865
29049656.782946	-13.098201056440
29077832.977692	-13.092817680622
29106063.883495	-13.087331255518
29134349.659864	-13.081743764524
29162690.466926	-13.076057176073
29191086.465433	-13.070273443399
29219537.816764	-13.064394504302
29248044.682927	-13.058422280941
29276607.226562	-13.052358679626
29305225.610948	-13.046205590628
29333900.000000	-13.039964888007
29362630.558276	-13.033638429438
29391417.450980	-13.027228056059
29420260.843965	-13.020735592331
29449160.903733	-13.014162845898
29478117.797443	-13.007511607475
29507131.692913	-13.000783650727
29536202.758621	-12.993980732175
29565331.163708	-12.987104591104
29594517.077986	-12.980156949478
29623760.671937	-12.973139511877
29653062.116716	-12.966053965425
29682421.584158	-12.958901979746
29711839.246779	-12.951685206915
29741315.277778	-12.944405281422
29770849.851043	-12.937063820150
29800443.141153	-12.929662422351
29830095.323383	-12.922202669638
29859806.573705	-12.914686125980
29889577.068794	-12.907114337706
29919406.986028	-12.899488833519
29949296.503496	-12.891811124510
29979245.800000	-12.884082704185
30009255.055055	-12.876305048499
30039324.448898	-12.868479615889
30069454.162487	-12.860607847320
30099644.377510	-12.852691166335
30129895.276382	-12.844730979110
30160207.042254	-12.836728674514
30190579.859013	-12.828685624176
30221013.911290	-12.820603182553
30251509.384460	-12.812482687011
30282066.464646	-12.804325457901
30312685.338726	-12.796132798644
30343366.194332	-12.787905995822
30374109.219858	-12.779646319270
30404914.604462	-12.771355022173
30435782.538071	-12.763033341166
30466713.211382	-12.754682496441
30497706.815870	-12.746303691848
30528763.543788	-12.737898115015
30559883.588175	-12.729466937454
30591067.142857	-12.721011314680
30622314.402451	-12.712532386333
30653625.562372	-12.704031276295
30685000.818833	-12.695509092820
30716440.368852	-12.686966928654
30747944.410256	-12.678405861171
30779513.141684	-12.669826952499
30811146.762590	-12.661231249653
30842845.473251	-12.652619784670
30874609.474768	-12.643993574748
30906438.969072	-12.635353622378
30938334.158927	-12.626700915487
30970295.247934	-12.618036427577
31002322.440538	-12.609361117868
31034415.942029	-12.600675931435
31066575.958549	-12.591981799358
31098802.697095	-12.583279638865
31131096.365524	-12.574570353471
31163457.172557	-12.565854833134
31195885.327784	-12.557133954390
31228381.041667	-12.548408580508
31260944.525547	-12.539679561636
31293575.991649	-12.530947734943
31326275.653083	-12.522213924774
31359043.723849	-12.513478942794
31391880.418848	-12.504743588135
31424785.953878	-12.496008647547
31457760.545645	-12.487274895544
31490804.411765	-12.478543094553
31523917.770768	-12.469813995062
31557100.842105	-12.461088335764
31590353.846154	-12.452366843711
31623677.004219	-12.443650234452
31657070.538543	-12.434939212189
31690534.672304	-12.426234469916
31724069.629630	-12.417536689567
31757675.635593	-12.408846542162
31791352.916225	-12.400164687948
31825101.698514	-12.391491776550
31858922.210414	-12.382828447104
31892814.680851	-12.374175328408
31926779.339723	-12.365533039061
31960816.417910	-12.356902187602
31994926.147279	-12.348283372652
32029108.760684	-12.339677183055
32063364.491979	-12.331084198013
32097693.576017	-12.322504987225
32132096.248660	-12.313940111025
32166572.746781	-12.305390120517
32201123.308271	-12.296855557706
32235748.172043	-12.288336955640
32270447.578041	-12.279834838536
32305221.767241	-12.271349721913
32340070.981661	-12.262882112724
32374995.464363	-12.254432509486
32409995.459459	-12.246001402407
32445071.212121	-12.237589273516
32480222.968581	-12.229196596786
32515450.976139	-12.220823838261
32550755.483170	-12.212471456183
32586136.739130	-12.204139901110
32621594.994559	-12.195829616042
32657130.501089	-12.187541036538
32692743.511450	-12.179274590840
32728434.279476	-12.171030699990
32764203.060109	-12.162809777945
32800050.109409	-12.154612231696
32835975.684556	-12.146438461381
32871980.043860	-12.138288860401
32908063.446762	-12.130163815530
32944226.153846	-12.122063707031
32980468.426843	-12.113988908759
33016790.528634	-12.105939788277
33053192.723264	-12.097916706963
33089675.275938	-12.089920020111
33126238.453039	-12.081950077045
33162882.522124	-12.074007221217
33199607.751938	-12.066091790313
33236414.412417	-12.058204116355
33273302.774695	-12.050344525801
33310273.111111	-12.042513339648
33347325.695217	-12.034710873524
33384460.801782	-12.026937437795
33421678.706800	-12.019193337652
33458979.687500	-12.011478873212
33496364.022346	-12.003794339610
33533831.991051	-11.996140027094
33571383.874580	-11.988516221114
33609019.955157	-11.980923202414
33646740.516274	-11.973361247125
33684545.842697	-11.965830626846
33722436.220472	-11.958331608740
33760411.936937	-11.950864455614
33798473.280722	-11.943429426009
33836620.541761	-11.936026774280
33874854.011299	-11.928656750684
33913173.981900	-11.921319601457
33951580.747452	-11.914015568901
33990074.603175	-11.906744891459
34028655.845630	-11.899507803797
34067324.772727	-11.892304536881
34106081.683732	-11.885135318056
34144926.879271	-11.878000371119
34183860.661345	-11.870899916398
34222883.333333	-11.863834170823
34261995.200000	-11.856803348000
34301196.567506	-11.849807658286
34340487.743414	-11.842847308857
34379869.036697	-11.835922503779
34419340.757750	-11.829033444081
34458903.218391	-11.822180327819
34498556.731876	-11.815363350148
34538301.612903	-11.808582703383
34578138.177624	-11.801838577073
34618066.743649	-11.795131158060
34658087.630058	-11.788460630546
34698201.157407	-11.781827176156
34738407.647740	-11.775230973999
34778707.424594	-11.768672200733
34819100.813008	-11.762151030624
34859588.139535	-11.755667635607
34900169.732247	-11.749222185344
34940845.920746	-11.742814847284
34981617.036173	-11.736445786722
35022483.411215	-11.730115166854
35063445.380117	-11.723823148832
35104503.278689	-11.717569891826
35145657.444314	-11.711355553072
35186908.215962	-11.705180287930
35228255.934195	-11.699044249936
35269700.941176	-11.692947590856
35311243.580683	-11.686890460737
35352884.198113	-11.680873007961
35394623.140496	-11.674895379291
35436460.756501	-11.668957719925
35478397.396450	-11.663060173547
35520433.412322	-11.657202882370
35562569.157770	-11.651385987190
35604804.988124	-11.645609627430
35647141.260404	-11.639873941190
35689578.333333	-11.634179065291
35732116.567342	-11.628525135322
35774756.324582	-11.622912285684
35817497.968937	-11.617340649638
35860341.866029	-11.611810359345
35903288.383234	-11.606321545914
35946337.889688	-11.600874339441
35989490.756303	-11.595468869053
36032747.355769	-11.590105262953
36076108.062575	-11.584783648455
36119573.253012	-11.579504152033
36163143.305187	-11.574266899356
36206818.599034	-11.569072015329
36250599.516324	-11.563919624135
36294486.440678	-11.558809849270
36338479.757576	-11.553742813586
36382579.854369	-11.548718639329
36426787.120292	-11.543737448171
36471101.946472	-11.538799361255
36515524.725944	-11.533904499228
36560055.853659	-11.529052982276
36604695.726496	-11.524244930167
36649444.743276	-11.519480462276
36694303.304774	-11.514759697632
36739271.813725	-11.510082754943
36784350.674847	-11.505449752638
36829540.294840	-11.500860808898
36874841.082411	-11.496316041688
36920253.448276	-11.491815568796
36965777.805179	-11.487359507860
37011414.567901	-11.482947976407
37057164.153276	-11.478581091878
37103026.980198	-11.474258971670
37149003.469641	-11.469981733160
37195094.044665	-11.465749493738
37241299.130435	-11.461562370843
37287619.154229	-11.457420481987
37334054.545455	-11.453323944793
37380605.735661	-11.449272877021
37427273.158552	-11.445267396598
37474057.250000	-11.441307621651
37520958.448060	-11.437393670534
37567977.192982	-11.433525661859
37615113.927227	-11.429703714526
37662369.095477	-11.425927947749
37709743.144654	-11.422198481089
37757236.523929	-11.418515434479
37804849.684741	-11.414878928253
37852583.080808	-11.411289083179
37900437.168142	-11.407746020478
37948412.405063	-11.404249861860
37996509.252218	-11.400800729549
38044728.172589	-11.397398746308
38093069.631512	-11.394044035471
38141534.096692	-11.390736720965
38190122.038217	-11.387476927342
38238833.928571	-11.384264779801
38287670.242656	-11.381100404221
38336631.457801	-11.377983927179
38385718.053777	-11.374915475986
38434930.512821	-11.371895178705
38484269.319641	-11.368923164184
38533734.961440	-11.365999562075
38583327.927928	-11.363124502869
38633048.711340	-11.360298117913
38682897.806452	-11.357520539442
38732875.710594	-11.354791900602
38782982.923674	-11.352112335477
38833219.948187	-11.349481979111
38883587.289235	-11.346900967540
38934085.454545	-11.344369437813
38984714.954486	-11.341887528017
39035476.302083	-11.339455377306
39086370.013038	-11.337073125923
39137396.605744	-11.334740915225
39188556.601307	-11.332458887712
39239850.523560	-11.330227187050
39291278.899083	-11.328045958095
39342842.257218	-11.325915346921
39394541.130092	-11.323835500842
39446376.052632	-11.321806568442
39498347.562582	-11.319828699593
39550456.200528	-11.317902045490
39602702.509908	-11.316026758666
39655087.037037	-11.314202993025
39707610.331126	-11.312430903865
39760272.944297	-11.310710647900
39813075.431607	-11.309042383292
39866018.351064	-11.307426269671
39919102.263648	-11.305862468162
39972327.733333	-11.304351141413
40025695.327103	-11.302892453618
40079205.614973	-11.301486570541
40132859.170013	-11.300133659549
40186656.568365	-11.298833889629
40240598.389262	-11.297587431421
40294685.215054	-11.296394457240
40348917.631225	-11.295255141104
40403296.226415	-11.294169658760
40457821.592443	-11.293138187710
40512494.324324	-11.292160907239
40567315.020298	-11.291237998439
40622284.281843	-11.290369644239
40677402.713704	-11.289556029429
40732670.923913	-11.288797340690
40788089.523810	-11.288093766618
40843659.128065	-11.287445497754
40899380.354707	-11.286852726612
40955253.825137	-11.286315647705
41011280.164159	-11.285834457571
41067460.000000	-11.285409354808
41123793.964335	-11.285040540095
41180282.692308	-11.284728216224
41236926.822558	-11.284472588129
41293726.997245	-11.284273862913
41350683.862069	-11.284132249879
41407798.066298	-11.284047960560
41465070.262794	-11.284021208744
41522501.108033	-11.284052210511
41580091.262136	-11.284141184256
41637841.388889	-11.284288350725
41695752.155772	-11.284493933041
41753824.233983	-11.284758156739
41812058.298466	-11.285081249794
41870455.027933	-11.285463442654
41929015.104895	-11.285904968271
41987739.215686	-11.286406062134
42046628.050491	-11.286966962299
42105682.303371	-11.287587909425
42164902.672293	-11.288269146804
42224289.859155	-11.289010920396
42283844.569817	-11.289813478860
42343567.514124	-11.290677073592
42403459.405941	-11.291601958757
42463520.963173	-11.292588391321
42523752.907801	-11.293636631091
42584155.965909	-11.294746940747
42644730.867710	-11.295919585879
42705478.347578	-11.297154835023
42766399.144080	-11.298452959695
42827494.000000	-11.299814234432
42888763.662375	-11.301238936827
42950208.882521	-11.302727347566
43011830.416069	-11.304279750468
43073629.022989	-11.305896432522
43135605.467626	-11.307577683927
43197760.518732	-11.309323798131
43260094.949495	-11.311135071871
43322609.537572	-11.313011805212
43385305.065123	-11.314954301592
43448182.318841	-11.316962867857
43511242.089985	-11.319037814308
43574485.174419	-11.321179454743
43637912.372635	-11.323388106496
43701524.489796	-11.325664090484
43765322.335766	-11.328007731249
43829306.725146	-11.330419357003
43893478.477306	-11.332899299675
43957838.416422	-11.335447894952
44022387.371512	-11.338065482329
44087126.176471	-11.340752405155
44152055.670103	-11.343509010679
44217176.696165	-11.346335650098
44282490.103397	-11.349232678608
44347996.745562	-11.352200455449
44413697.481481	-11.355239343958
44479593.175074	-11.358349711619
44545684.695394	-11.361531930112
44611972.916667	-11.364786375368
44678458.718331	-11.368113427618
44745142.985075	-11.371513471449
44812026.606876	-11.374986895855
44879110.479042	-11.378534094294
44946395.502249	-11.382155464742
45013882.582583	-11.385851409749
45081572.631579	-11.389622336497
45149466.566265	-11.393468656855
45217565.309201	-11.397390787440
45285869.788520	-11.401389149672
45354380.937973	-11.405464169840
45423099.696970	-11.409616279158
45492027.010622	-11.413845913826
45561163.829787	-11.418153515097
45630511.111111	-11.422539529334
45700069.817073	-11.427004408081
45769840.916031	-11.431548608120
45839825.382263	-11.436172591545
45910024.196018	-11.440876825822
45980438.343558	-11.445661783860
46051068.817204	-11.450527944079
46121916.615385	-11.455475790481
46192982.742681	-11.460505812716
46264268.209877	-11.465618506159
46335774.034003	-11.470814371980
46407501.238390	-11.476093917215
46479450.852713	-11.481457654846
46551623.913043	-11.486906103871
46624021.461897	-11.492439789385
46696644.548287	-11.498059242654
46769494.227769	-11.503765001199
46842571.562500	-11.509557608869
46915877.621283	-11.515437615927
46989413.479624	-11.521405579130
47063180.219780	-11.527462061814
47137178.930818	-11.533607633978
47211410.708661	-11.539842872367
47285876.656151	-11.546168360562
47360577.883096	-11.552584689069
47435515.506329	-11.559092455403
47510690.649762	-11.565692264185
47586104.444444	-11.572384727229
47661758.028617	-11.579170463639
47737652.547771	-11.586050099900
47813789.154705	-11.593024269975
47890169.009585	-11.600093615405
47966793.280000	-11.607258785403
48043663.141026	-11.614520436957
48120779.775281	-11.621879234929
48198144.372990	-11.629335852161
48275758.132045	-11.636890969576
48353622.258065	-11.644545276284
48431737.964459	-11.652299469691
48510106.472492	-11.660154255608
48588729.011345	-11.668110348358
48667606.818182	-11.676168470888
48746741.138211	-11.684329354885
48826133.224756	-11.692593740891
48905784.339315	-11.700962378414
48985695.751634	-11.709436026053
49065868.739771	-11.718015451611
49146304.590164	-11.726701432221
49227004.597701	-11.735494754468
49307970.065789	-11.744396214511
49389202.306425	-11.753406618211
49470702.640264	-11.762526781261
49552472.396694	-11.771757529310
49634512.913907	-11.781099698103
49716825.538972	-11.790554133603
49799411.627907	-11.800121692138
49882272.545757	-11.809803240527
49965409.666667	-11.819599656226
50048824.373957	-11.829511827466
50132518.060201	-11.839540653393
50216492.127303	-11.849687044215
50300747.986577	-11.859951921346
50385287.058824	-11.870336217555
50470110.774411	-11.880840877115
50555220.573356	-11.891466855954
50640617.905405	-11.902215121809
50726304.230118	-11.913086654383
50812281.016949	-11.924082445498
50898549.745331	-11.935203499257
50985111.904762	-11.946450832205
51071968.994889	-11.957825473491
51159122.525597	-11.969328465035
51246574.017094	-11.980960861689
51334325.000000	-11.992723731415
51422377.015437	-12.004618155446
51510731.615120	-12.016645228464
51599390.361446	-12.028806058775
51688354.827586	-12.041101768481
51777626.597582	-12.053533493662
51867207.266436	-12.066102384554
51957098.440208	-12.078809605732
52047301.736111	-12.091656336292
52137818.782609	-12.104643770038
52228651.219512	-12.117773115668
52319800.698080	-12.131045596965
52411268.881119	-12.144462452985
52503057.443082	-12.158024938250
52595168.070175	-12.171734322942
52687602.460457	-12.185591893101
52780362.323944	-12.199598950816
52873449.382716	-12.213756814428
52966865.371025	-12.228066818729
53060612.035398	-12.242530315163
53154691.134752	-12.257148672025
53249104.440497	-12.271923274670
53343853.736655	-12.286855525713
53438940.819964	-12.301946845236
53534367.500000	-12.317198670994
53630135.599284	-12.332612458623
53726246.953405	-12.348189681844
53822703.411131	-12.363931832676
53919506.834532	-12.379840421641
54016659.099099	-12.395916977973
54114162.093863	-12.412163049829
54212017.721519	-12.428580204492
54310227.898551	-12.445170028586
54408794.555354	-12.461934128276
54507719.636364	-12.478874129482
54607005.100182	-12.495991678078
54706652.919708	-12.513288440100
54806665.082267	-12.530766101951
54907043.589744	-12.548426370594
55007790.458716	-12.566270973760
55108907.720588	-12.584301660139
55210397.421731	-12.602520199574
55312261.623616	-12.620928383254
55414502.402957	-12.639528023897
55517121.851852	-12.658320955936
55620122.077922	-12.677309035697
55723505.204461	-12.696494141570
55827273.370577	-12.715878174179
55931428.731343	-12.735463056544
56035973.457944	-12.755250734237
56140909.737828	-12.775243175528
56246239.774859	-12.795442371527
56351965.789474	-12.815850336318
56458090.018832	-12.836469107076
56564614.716981	-12.857300744187
56671542.155009	-12.878347331345
56778874.621212	-12.899610975642
56886614.421252	-12.921093807649
56994763.878327	-12.942797981476
57103325.333333	-12.964725674822
57212301.145038	-12.986879089010
57321693.690249	-13.009260449001
57431505.363985	-13.031872003393
57541738.579654	-13.054716024398
57652395.769231	-13.077794807798
57763479.383430	-13.101110672883
57874991.891892	-13.124665962358
57986935.783366	-13.148463042228
58099313.565891	-13.172504301653
58212127.766990	-13.196792152778
58325380.933852	-13.221329030525
58439075.633528	-13.246117392355
58553214.453125	-13.271159717993
58667800.000000	-13.296458509115
58782834.901961	-13.322016288990
58898321.807466	-13.347835602086
59014263.385827	-13.373919013621
59130662.327416	-13.400269109066
59247521.343874	-13.426888493600
59364843.168317	-13.453779791500
59482630.555556	-13.480945645479
59600886.282306	-13.508388715953
59719613.147410	-13.536111680240
59838813.972056	-13.564117231696
59958491.600000	-13.592408078756
60078648.897796	-13.620986943911
60199288.755020	-13.649856562581
60320414.084507	-13.679019681910
60442027.822581	-13.708479059447
60564132.929293	-13.738237461734
60686732.388664	-13.768297662774
60809829.208925	-13.798662442387
60933426.422764	-13.829334584428
61057527.087576	-13.860316874884
61182134.285714	-13.891612099820
61307251.124744	-13.923223043177
61432880.737705	-13.955152484406
61559026.283368	-13.987403195933
61685690.946502	-14.019977940442
61812877.938144	-14.052879467966
61940590.495868	-14.086110512774
62068831.884058	-14.119673790037
62197605.394191	-14.153571992272
62326914.345114	-14.187807785528
62456762.083333	-14.222383805330
62587151.983299	-14.257302652334
62718087.447699	-14.292566887694
62849571.907757	-14.328179028127
62981608.823529	-14.364141540638
63114201.684211	-14.400456836908
63247354.008439	-14.437127267307
63381069.344609	-14.474155114519
63515351.271186	-14.511542586751
63650203.397028	-14.549291810509
63785629.361702	-14.587404822902
63921632.835821	-14.625883563463
64058217.521368	-14.664729865440
64195387.152034	-14.703945446544
64333145.493562	-14.743531899109
64471496.344086	-14.783490679639
64610443.534483	-14.823823097698
64749990.928726	-14.864530304117
64890142.424242	-14.905613278462
65030901.952278	-14.947072815746
65172273.478261	-14.988909512315
65314261.002179	-15.031123750879
65456868.558952	-15.073715684646
65600100.218818	-15.116685220485
65743960.087719	-15.160032001099
65888452.307692	-15.203755386121
66033581.057269	-15.247854432111
66179350.551876	-15.292327871358
66325765.044248	-15.337174089469
66472828.824834	-15.382391101639
66620546.222222	-15.427976527579
66768921.603563	-15.473927565001
66917959.375000	-15.520240961615
67067663.982103	-15.566912985559
67218039.910314	-15.613939394192
67369091.685393	-15.661315401186
67520823.873874	-15.709035641826
67673241.083521	-15.757094136470
67826347.963801	-15.805484252080
67980149.206349	-15.854198661755
68134649.545455	-15.903229302207
68289853.758542	-15.952567329098
68445766.666667	-16.002203070187
68602393.135011	-16.052125976220
68759738.073394	-16.102324569514
68917806.436782	-16.152786390189
69076603.225806	-16.203497940006
69236133.487298	-16.254444623791
69396402.314815	-16.305610688423
69557414.849188	-16.356979159390
69719176.279070	-16.408531774939
69881691.841492	-16.460248917836
70044966.822430	-16.512109544822
70209006.557377	-16.564091113831
70373816.431925	-16.616169509100
70539401.882353	-16.668318964318
70705768.396226	-16.720511983998
70872921.513002	-16.772719263309
71040866.824645	-16.824909606647
71209609.976247	-16.877049845274
71379156.666667	-16.929104754406
71549512.649165	-16.981036970225
71720683.732057	-17.032806907306
71892675.779377	-17.084372677080
72065494.711538	-17.135690007989
72239146.506024	-17.186712168103
72413637.198068	-17.237389891046
72588972.881356	-17.287671306177
72765159.708738	-17.337501874053
72942203.892944	-17.386824328341
73120111.707317	-17.435578625393
73298889.486553	-17.483701902848
73478543.627451	-17.531128448690
73659080.589681	-17.577789682298
73840506.896552	-17.623614149108
74022829.135802	-17.668527530587
74206053.960396	-17.712452671266
74390188.089330	-17.755309624624
74575238.308458	-17.797015719666
74761211.471322	-17.837485649971
74948114.500000	-17.876631587013
75135954.385965	-17.914363319433
75324738.190955	-17.950588419860
75514473.047859	-17.985212440685
75705166.161616	-18.018139140019
75896824.810127	-18.049270738772
76089456.345178	-18.078508209485
76283068.193384	-18.105751597175
76477667.857143	-18.130900372031
76673262.915601	-18.153853813288
76869861.025641	-18.174511423113
77067469.922879	-18.192773368750
77266097.422680	-18.208540950543
77465751.421189	-18.221717092877
77666439.896373	-18.232206854396
77868170.909091	-18.239917953257
78070952.604167	-18.244761302581
78274793.211488	-18.246651550693
78479701.047120	-18.245507620264
78685684.514436	-18.241253240072
78892752.105263	-18.233817462787
79100912.401055	-18.223135162029
79310174.074074	-18.209147501883
79520545.888594	-18.191802372195
79732036.702128	-18.171054783212
79944655.466667	-18.146867213568
80158411.229947	-18.119209906171
80373313.136729	-18.088061107282
80589370.430108	-18.053407244898
80806592.452830	-18.015243043520
81024988.648649	-17.973571573393
81244568.563686	-17.928404233420
81465341.847826	-17.879760668033
81687318.256131	-17.827668619418
81910507.650273	-17.772163717546
82134920.000000	-17.713289211454
