#Parameters = {Lh=0.033016666666667; Oa=0.049839326046652; Oo=0.0041966915170919; a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
62981608.823529	-60.549518865328
63114201.684211	-60.556073386187
63247354.008439	-60.569229402027
63381069.344609	-60.588806609466
63515351.271186	-60.614434128026
63650203.397028	-60.645580885931
63785629.361702	-60.681595140048
63921632.835821	-60.721748120997
64058217.521368	-60.765276994879
64195387.152034	-60.811423267848
64333145.493562	-60.859464092318
64471496.344086	-60.908735321452
64610443.534483	-60.958646342760
64749990.928726	-61.008687564740
64890142.424242	-61.058431907546
65030901.952278	-61.107531810799
65172273.478261	-61.155713206926
65314261.002179	-61.202767708184
65456868.558952	-61.248543996665
65600100.218818	-61.292939143280
65743960.087719	-61.335890346171
65888452.307692	-61.377367386453
66033581.057269	-61.417365952424
66179350.551876	-61.455901878920
66325765.044248	-61.493006279068
66472828.824834	-61.528721503585
66620546.222222	-61.563097840608
66768921.603563	-61.596190860587
66917959.375000	-61.628059311432
67067663.982103	-61.658763474981
67218039.910314	-61.688363904716
67369091.685393	-61.716920474584
67520823.873874	-61.744491678808
67673241.083521	-61.771134132081
67826347.963801	-61.796902227996
67980149.206349	-61.821847921200
68134649.545455	-61.846020605092
68289853.758542	-61.869467062395
68445766.666667	-61.892231470454
68602393.135011	-61.914355446845
68759738.073394	-61.935878123952
68917806.436782	-61.956836243614
69076603.225806	-61.977264264977
69236133.487298	-61.997194480258
69396402.314815	-62.016657134397
69557414.849188	-62.035680545606
69719176.279070	-62.054291224563
69881691.841492	-62.072513990679
70044966.822430	-62.090372084298
70209006.557377	-62.107887274102
70373816.431925	-62.125079959219
70539401.882353	-62.141969265847
70705768.396226	-62.158573138240
70872921.513002	-62.174908424143
71040866.824645	-62.190990954771
71209609.976247	-62.206835619515
71379156.666667	-62.222456435607
71549512.649165	-62.237866612978
71720683.732057	-62.253078614591
71892675.779377	-62.268104212493
72065494.711538	-62.282954539884
72239146.506024	-62.297640139440
72413637.198068	-62.312171008158
72588972.881356	-62.326556638975
72765159.708738	-62.340806059368
72942203.892944	-62.354927867192
73120111.707317	-62.368930263928
73298889.486553	-62.382821085554
73478543.627451	-62.396607831223
73659080.589681	-62.410297689896
73840506.896552	-62.423897565112
74022829.135802	-62.437414098019
74206053.960396	-62.450853688811
74390188.089330	-62.464222516689
74575238.308458	-62.477526558469
74761211.471322	-62.490771605928
