freq	s11_Re	s11_Im
2.7000000000000	0.34388668444366	0.24750974777609
2.7100000000000	0.34161254123371	0.24237703902857
2.7200000000000	0.33927995549435	0.23733706469905
2.7300000000000	0.33689142067539	0.23238998413443
2.7400000000000	0.33444940074844	0.22753589438917
2.7500000000000	0.33195632889225	0.22277483211065
2.7600000000000	0.32941460626841	0.21810677543166
2.7700000000000	0.32682660088592	0.21353164586646
2.7800000000000	0.32419464655232	0.20904931020672
2.7900000000000	0.32152104190969	0.20465958241405
2.8000000000000	0.31880804955309	0.20036222550599
2.8100000000000	0.31605789522932	0.19615695343223
2.8200000000000	0.31327276711375	0.19204343293856
2.8300000000000	0.31045481516277	0.18802128541561
2.8400000000000	0.30760615053950	0.18409008873004
2.8500000000000	0.30472884511033	0.18024937903593
2.8600000000000	0.30182493100980	0.17649865256412
2.8700000000000	0.29889640027130	0.17283736738752
2.8800000000000	0.29594520452118	0.16926494516078
2.8900000000000	0.29297325473366	0.16578077283237
2.9000000000000	0.28998242104405	0.16238420432779
2.9100000000000	0.28697453261790	0.15907456220248
2.9200000000000	0.28395137757343	0.15585113926313
2.9300000000000	0.28091470295493	0.15271320015645
2.9400000000000	0.27786621475464	0.14965998292429
2.9500000000000	0.27480757798064	0.14669070052440
2.9600000000000	0.27174041676863	0.14380454231609
2.9700000000000	0.26866631453498	0.14100067551004
2.9800000000000	0.26558681416898	0.13827824658205
2.9900000000000	0.26250341826200	0.13563638265005
3.0000000000000	0.25941758937142	0.13307419281424
3.0100000000000	0.25633075031713	0.13059076946015
3.0200000000000	0.25324428450862	0.12818518952438
3.0300000000000	0.25015953630055	0.12585651572315
3.0400000000000	0.24707781137504	0.12360379774358
3.0500000000000	0.24400037714850	0.12142607339779
3.0600000000000	0.24092846320141	0.11932236974014
3.0700000000000	0.23786326172917	0.11729170414766
3.0800000000000	0.23480592801236	0.11533308536414
3.0900000000000	0.23175758090467	0.11344551450804
3.1000000000000	0.22871930333704	0.11162798604477
3.1100000000000	0.22569214283633	0.10987948872373
3.1200000000000	0.22267711205727	0.10819900648052
3.1300000000000	0.21967518932604	0.10658551930489
3.1400000000000	0.21668731919429	0.10503800407505
3.1500000000000	0.21371441300234	0.10355543535875
3.1600000000000	0.21075734945018	0.10213678618186
3.1700000000000	0.20781697517522	0.10078102876500
3.1800000000000	0.20489410533572	0.099487135229003
3.1900000000000	0.20198952419867	0.098254078269620
3.2000000000000	0.19910398573126	0.097080831802425
3.2100000000000	0.19623821419496	0.095966371578419
3.2200000000000	0.19339290474126	0.094909675771109
3.2300000000000	0.19056872400829	0.093909725535757
3.2400000000000	0.18776631071743	0.092965505541507
3.2500000000000	0.18498627626928	0.092076004477121
3.2600000000000	0.18222920533810	0.091240215531024
3.2700000000000	0.17949565646425	0.090457136846388
3.2800000000000	0.17678616264389	0.089725771951981
3.2900000000000	0.17410123191533	0.089045130169475
3.3000000000000	0.17144134794161	0.088414226997952
3.3100000000000	0.16880697058870	0.087832084476288
3.3200000000000	0.16619853649888	0.087297731524138
3.3300000000000	0.16361645965885	0.086810204262201
3.3400000000000	0.16106113196228	0.086368546312448
3.3500000000000	0.15853292376623	0.085971809079013
3.3600000000000	0.15603218444128	0.085619052010372
3.3700000000000	0.15355924291499	0.085309342843510
3.3800000000000	0.15111440820842	0.085041757830687
3.3900000000000	0.14869796996546	0.084815381949453
3.4000000000000	0.14631019897471	0.084629309096533
3.4100000000000	0.14395134768380	0.084482642266179
3.4200000000000	0.14162165070586	0.084374493713604
3.4300000000000	0.13932132531802	0.084303985104060
3.4400000000000	0.13705057195188	0.084270247648149
3.4500000000000	0.13480957467570	0.084272422223905
3.4600000000000	0.13259850166833	0.084309659486210
3.4700000000000	0.13041750568469	0.084381119964054
3.4800000000000	0.12826672451287	0.084485974146168
3.4900000000000	0.12614628142266	0.084623402555518
3.5000000000000	0.12405628560555	0.084792595813173
3.5100000000000	0.12199683260622	0.084992754691982
3.5200000000000	0.11996800474540	0.085223090160561
3.5300000000000	0.11796987153420	0.085482823418011
3.5400000000000	0.11600249007988	0.085771185919805
3.5500000000000	0.11406590548311	0.086087419395276
3.5600000000000	0.11216015122673	0.086430775857093
3.5700000000000	0.11028524955609	0.086800517603140
3.5800000000000	0.10844121185096	0.087195917211160
3.5900000000000	0.10662803898918	0.087616257526551
3.6000000000000	0.10484572170199	0.088060831643650
3.6100000000000	0.10309424092118	0.088528942880870
3.6200000000000	0.10137356811822	0.089019904750001
3.6300000000000	0.099683665635241	0.089533040920013
3.6400000000000	0.098024487008224	0.090067685175659
3.6500000000000	0.096395977282256	0.090623181371181
3.6600000000000	0.094798073319119	0.091198883379398
3.6700000000000	0.093230704097233	0.091794155036460
3.6800000000000	0.091693791004087	0.092408370082535
3.6900000000000	0.090187248121256	0.093040912098667
3.7000000000000	0.088710982502131	0.093691174440078
3.7100000000000	0.087264894442460	0.094358560166116
3.7200000000000	0.085848877743840	0.095042481967112
3.7300000000000	0.084462819970245	0.095742362088327
3.7400000000000	0.083106602697746	0.096457632251224
3.7500000000000	0.081780101757514	0.097187733572249
3.7600000000000	0.080483187472249	0.097932116479322
3.7700000000000	0.079215724886140	0.098690240626209
3.7800000000000	0.077977573988496	0.099461574804965
3.7900000000000	0.076768589931151	0.10024559685660
3.8000000000000	0.075588623239787	0.10104179358013
3.8100000000000	0.074437520019277	0.10184966064020
3.8200000000000	0.073315122153187	0.10266870247336
3.8300000000000	0.072221267497548	0.10349843219318
3.8400000000000	0.071155790069027	0.10433837149434
3.8500000000000	0.070118520227606	0.10518805055578
