lambda	A
29536202.758621	0.94981150655355
29565331.163708	0.94973198209994
29594517.077986	0.94965150272439
29623760.671937	0.94957008403923
29653062.116716	0.94948774152903
29682421.584158	0.94940449055156
29711839.246779	0.94932034633889
29741315.277778	0.94923532399834
29770849.851043	0.94914943851353
29800443.141153	0.94906270474533
29830095.323383	0.94897513743291
29859806.573705	0.94888675119467
29889577.068794	0.94879756052926
29919406.986028	0.94870757981652
29949296.503496	0.94861682331848
29979245.800000	0.94852530518029
30009255.055055	0.94843303943120
30039324.448898	0.94834003998547
30069454.162487	0.94824632064336
30099644.377510	0.94815189509204
30129895.276382	0.94805677690651
30160207.042254	0.94796097955053
30190579.859013	0.94786451637757
30221013.911290	0.94776740063168
30251509.384460	0.94766964544840
30282066.464646	0.94757126385569
30312685.338726	0.94747226877481
30343366.194332	0.94737267302120
30374109.219858	0.94727248930538
30404914.604462	0.94717173023383
30435782.538071	0.94707040830983
30466713.211382	0.94696853593438
30497706.815870	0.94686612540704
30528763.543788	0.94676318892675
30559883.588175	0.94665973859275
30591067.142857	0.94655578640539
30622314.402451	0.94645134426698
30653625.562372	0.94634642398261
30685000.818833	0.94624103726100
30716440.368852	0.94613519571533
30747944.410256	0.94602891086407
30779513.141684	0.94592219413175
30811146.762590	0.94581505684984
30842845.473251	0.94570751025749
30874609.474768	0.94559956550241
30906438.969072	0.94549123364157
30938334.158927	0.94538252564210
30970295.247934	0.94527345238200
31002322.440538	0.94516402465094
31034415.942029	0.94505425315109
31066575.958549	0.94494414849780
31098802.697095	0.94483372122048
31131096.365524	0.94472298176327
31163457.172557	0.94461194048586
31195885.327784	0.94450060766423
31228381.041667	0.94438899349139
31260944.525547	0.94427710807815
31293575.991649	0.94416496145384
31326275.653083	0.94405256356708
31359043.723849	0.94393992428647
31391880.418848	0.94382705340136
31424785.953878	0.94371396062257
31457760.545645	0.94360065558309
31490804.411765	0.94348714783882
31523917.770768	0.94337344686927
31557100.842105	0.94325956207828
31590353.846154	0.94314550279471
31623677.004219	0.94303127827315
31657070.538543	0.94291689769463
31690534.672304	0.94280237016728
31724069.629630	0.94268770472705
31757675.635593	0.94257291033839
31791352.916225	0.94245799589489
31825101.698514	0.94234297022003
31858922.210414	0.94222784206776
31892814.680851	0.94211262012327
31926779.339723	0.94199731300357
31960816.417910	0.94188192925819
31994926.147279	0.94176647736984
32029108.760684	0.94165096575502
32063364.491979	0.94153540276474
32097693.576017	0.94141979668511
32132096.248660	0.94130415573797
32166572.746781	0.94118848808158
32201123.308271	0.94107280181122
32235748.172043	0.94095710495982
32270447.578041	0.94084140549857
32305221.767241	0.94072571133760
32340070.981661	0.94061003032651
32374995.464363	0.94049437025507
32409995.459459	0.94037873885376
32445071.212121	0.94026314379443
32480222.968581	0.94014759269087
32515450.976139	0.94003209309941
32550755.483170	0.93991665251954
32586136.739130	0.93980127839446
32621594.994559	0.93968597811172
32657130.501089	0.93957075900374
32692743.511450	0.93945562834846
32728434.279476	0.93934059336986
32764203.060109	0.93922566123855
32800050.109409	0.93911083907237
32835975.684556	0.93899613393689
32871980.043860	0.93888155284605
32908063.446762	0.93876710276264
32944226.153846	0.93865279059892
32980468.426843	0.93853862321714
33016790.528634	0.93842460743008
33053192.723264	0.93831075000162
33089675.275938	0.93819705764725
33126238.453039	0.93808353703462
33162882.522124	0.93797019478410
33199607.751938	0.93785703746926
33236414.412417	0.93774407161742
33273302.774695	0.93763130371020
33310273.111111	0.93751874018397
33347325.695217	0.93740638743046
33384460.801782	0.93729425179716
33421678.706800	0.93718233958794
33458979.687500	0.93707065706347
33496364.022346	0.93695921044177
33533831.991051	0.93684800589868
33571383.874580	0.93673704956839
33609019.955157	0.93662634754389
33646740.516274	0.93651590587747
33684545.842697	0.93640573058124
33722436.220472	0.93629582762755
33760411.936937	0.93618620294953
33798473.280722	0.93607686244151
33836620.541761	0.93596781195951
33874854.011299	0.93585905732175
33913173.981900	0.93575060430903
33951580.747452	0.93564245866527
33990074.603175	0.93553462609792
34028655.845630	0.93542711227844
34067324.772727	0.93531992284273
34106081.683732	0.93521306339158
34144926.879271	0.93510653949113
34183860.661345	0.93500035667332
34222883.333333	0.93489452043628
34261995.200000	0.93478903624481
34301196.567506	0.93468390953080
34340487.743414	0.93457914569363
34379869.036697	0.93447475010065
34419340.757750	0.93437072808754
34458903.218391	0.93426708495878
34498556.731876	0.93416382598803
34538301.612903	0.93406095641855
34578138.177624	0.93395848146363
34618066.743649	0.93385640630697
34658087.630058	0.93375473610308
34698201.157407	0.93365347597769
34738407.647740	0.93355263102817
34778707.424594	0.93345220632387
34819100.813008	0.93335220690655
34859588.139535	0.93325263779074
34900169.732247	0.93315350396417
34940845.920746	0.93305481038808
34981617.036173	0.93295656199765
35022483.411215	0.93285876370237
35063445.380117	0.93276142038639
35104503.278689	0.93266453690888
35145657.444314	0.93256811810444
35186908.215962	0.93247216878343
35228255.934195	0.93237669373232
35269700.941176	0.93228169771406
35311243.580683	0.93218718546846
35352884.198113	0.93209316171246
35394623.140496	0.93199963114059
35436460.756501	0.93190659842519
35478397.396450	0.93181406821686
35520433.412322	0.93172204514474
35562569.157770	0.93163053381683
35604804.988124	0.93153953882039
35647141.260404	0.93144906472219
35689578.333333	0.93135911606889
35732116.567342	0.93126969738735
35774756.324582	0.93118081318494
35817497.968937	0.93109246794986
35860341.866029	0.93100466615146
35903288.383234	0.93091741224057
35946337.889688	0.93083071064977
35989490.756303	0.93074456579370
36032747.355769	0.93065898206942
36076108.062575	0.93057396385663
36119573.253012	0.93048951551804
36163143.305187	0.93040564139959
36206818.599034	0.93032234583083
36250599.516324	0.93023963312512
36294486.440678	0.93015750757999
36338479.757576	0.93007597347737
36382579.854369	0.92999503508391
36426787.120292	0.92991469665123
36471101.946472	0.92983496241622
36515524.725944	0.92975583660128
36560055.853659	0.92967732341462
36604695.726496	0.92959942705053
36649444.743276	0.92952215168960
36694303.304774	0.92944550149904
36739271.813725	0.92936948063290
36784350.674847	0.92929409323235
36829540.294840	0.92921934342591
36874841.082411	0.92914523532971
36920253.448276	0.92907177304777
36965777.805179	0.92899896067220
37011414.567901	0.92892680228346
37057164.153276	0.92885530195060
37103026.980198	0.92878446373152
37149003.469641	0.92871429167317
37195094.044665	0.92864478981182
37241299.130435	0.92857596217324
37287619.154229	0.92850781277298
37334054.545455	0.92844034561659
37380605.735661	0.92837356469978
37427273.158552	0.92830747400874
37474057.250000	0.92824207752027
37520958.448060	0.92817737920204
37567977.192982	0.92811338301280
37615113.927227	0.92805009290258
37662369.095477	0.92798751281290
37709743.144654	0.92792564667697
37757236.523929	0.92786449841993
37804849.684741	0.92780407195898
37852583.080808	0.92774437120364
37900437.168142	0.92768540005593
37948412.405063	0.92762716241054
37996509.252218	0.92756966215504
38044728.172589	0.92751290317010
38093069.631512	0.92745688932959
38141534.096692	0.92740162450084
38190122.038217	0.92734711254481
38238833.928571	0.92729335731623
38287670.242656	0.92724036266381
38336631.457801	0.92718813243041
38385718.053777	0.92713667045321
38434930.512821	0.92708598056386
38484269.319641	0.92703606658867
38533734.961440	0.92698693234877
38583327.927928	0.92693858166026
38633048.711340	0.92689101833439
38682897.806452	0.92684424617768
38732875.710594	0.92679826899213
38782982.923674	0.92675309057533
38833219.948187	0.92670871472062
38883587.289235	0.92666514521723
38934085.454545	0.92662238585046
38984714.954486	0.92658044040178
39035476.302083	0.92653931264899
39086370.013038	0.92649900636638
39137396.605744	0.92645952532481
39188556.601307	0.92642087329190
39239850.523560	0.92638305403214
39291278.899083	0.92634607130700
39342842.257218	0.92630992887509
39394541.130092	0.92627463049227
39446376.052632	0.92624017991177
39498347.562582	0.92620658088430
39550456.200528	0.92617383715820
39602702.509908	0.92614195247950
39655087.037037	0.92611093059211
39707610.331126	0.92608077523784
39760272.944297	0.92605149015659
39813075.431607	0.92602307908641
39866018.351064	0.92599554576359
39919102.263648	0.92596889392283
39972327.733333	0.92594312729725
40025695.327103	0.92591824961855
40079205.614973	0.92589426461707
40132859.170013	0.92587117602191
40186656.568365	0.92584898756098
40240598.389262	0.92582770296114
40294685.215054	0.92580732594822
40348917.631225	0.92578786024715
40403296.226415	0.92576930958203
40457821.592443	0.92575167767618
40512494.324324	0.92573496825225
40567315.020298	0.92571918503228
40622284.281843	0.92570433173775
40677402.713704	0.92569041208968
40732670.923913	0.92567742980866
40788089.523810	0.92566538861494
40843659.128065	0.92565429222847
40899380.354707	0.92564414436896
40955253.825137	0.92563494875594
41011280.164159	0.92562670910883
41067460.000000	0.92561942914694
41123793.964335	0.92561311258956
41180282.692308	0.92560776315597
41236926.822558	0.92560338456552
41293726.997245	0.92559998053763
41350683.862069	0.92559755479185
41407798.066298	0.92559611104789
41465070.262794	0.92559565302561
41522501.108033	0.92559618444513
41580091.262136	0.92559770902677
41637841.388889	0.92560023049111
41695752.155772	0.92560375255902
41753824.233983	0.92560827895164
41812058.298466	0.92561381339043
41870455.027933	0.92562035959715
41929015.104895	0.92562792129389
41987739.215686	0.92563650220304
42046628.050491	0.92564610604733
42105682.303371	0.92565673654981
42164902.672293	0.92566839743383
42224289.859155	0.92568109242306
42283844.569817	0.92569482524145
42343567.514124	0.92570959961323
42403459.405941	0.92572541926289
42463520.963173	0.92574228791514
42523752.907801	0.92576020929492
42584155.965909	0.92577918712734
42644730.867710	0.92579922513765
42705478.347578	0.92582032705122
42766399.144080	0.92584249659349
42827494.000000	0.92586573748992
42888763.662375	0.92589005346595
42950208.882521	0.92591544824697
43011830.416069	0.92594192555821
43073629.022989	0.92596948912473
43135605.467626	0.92599814267136
43197760.518732	0.92602788992258
43260094.949495	0.92605873460251
43322609.537572	0.92609068043480
43385305.065123	0.92612373114256
43448182.318841	0.92615789044829
43511242.089985	0.92619316207375
43574485.174419	0.92622954973992
43637912.372635	0.92626705716687
43701524.489796	0.92630568807368
43765322.335766	0.92634544617830
43829306.725146	0.92638633519748
43893478.477306	0.92642835884663
43957838.416422	0.92647152083971
44022387.371512	0.92651582488909
44087126.176471	0.92656127470543
44152055.670103	0.92660787399755
44217176.696165	0.92665562647227
44282490.103397	0.92670453583430
44347996.745562	0.92675460578603
44413697.481481	0.92680584002744
44479593.175074	0.92685824225588
44545684.695394	0.92691181616592
44611972.916667	0.92696656544920
44678458.718331	0.92702249379422
44745142.985075	0.92707960488614
44812026.606876	0.92713790240665
44879110.479042	0.92719739003368
44946395.502249	0.92725807144128
45013882.582583	0.92731995029935
45081572.631579	0.92738303027343
45149466.566265	0.92744731502452
45217565.309201	0.92751280820877
45285869.788520	0.92757951347729
45354380.937973	0.92764743447590
45423099.696970	0.92771657484485
45492027.010622	0.92778693821860
45561163.829787	0.92785852822548
45630511.111111	0.92793134848749
45700069.817073	0.92800540261995
45769840.916031	0.92808069423125
45839825.382263	0.92815722692251
45910024.196018	0.92823500428729
45980438.343558	0.92831402991127
46051068.817204	0.92839430737191
46121916.615385	0.92847584023812
46192982.742681	0.92855863206989
46264268.209877	0.92864268641796
46335774.034003	0.92872800682345
46407501.238390	0.92881459681746
46479450.852713	0.92890245992070
46551623.913043	0.92899159964308
46624021.461897	0.92908201948333
46696644.548287	0.92917372292854
46769494.227769	0.92926671345375
46842571.562500	0.92936099452151
46915877.621283	0.92945656958144
46989413.479624	0.92955344206973
47063180.219780	0.92965161540868
47137178.930818	0.92975109300623
47211410.708661	0.92985187825543
47285876.656151	0.92995397453393
47360577.883096	0.93005738520347
47435515.506329	0.93016211360933
47510690.649762	0.93026816307977
47586104.444444	0.93037553692545
47661758.028617	0.93048423843888
47737652.547771	0.93059427089380
47813789.154705	0.93070563754458
47890169.009585	0.93081834162556
47966793.280000	0.93093238635046
48043663.141026	0.93104777491168
48120779.775281	0.93116451047965
48198144.372990	0.93128259620211
48275758.132045	0.93140203520344
48353622.258065	0.93152283058389
48431737.964459	0.93164498541890
48510106.472492	0.93176850275826
48588729.011345	0.93189338562539
48667606.818182	0.93201963701652
48746741.138211	0.93214725989988
48826133.224756	0.93227625721486
48905784.339315	0.93240663187113
48985695.751634	0.93253838674781
49065868.739771	0.93267152469254
49146304.590164	0.93280604852055
49227004.597701	0.93294196101376
49307970.065789	0.93307926491976
49389202.306425	0.93321796295089
49470702.640264	0.93335805778315
49552472.396694	0.93349955205524
49634512.913907	0.93364244836747
49716825.538972	0.93378674928067
49799411.627907	0.93393245731509
49882272.545757	0.93407957494927
49965409.666667	0.93422810461886
50048824.373957	0.93437804871547
50132518.060201	0.93452940958541
50216492.127303	0.93468218952849
50300747.986577	0.93483639079669
50385287.058824	0.93499201559292
50470110.774411	0.93514906606965
50555220.573356	0.93530754432754
50640617.905405	0.93546745241409
50726304.230118	0.93562879232216
50812281.016949	0.93579156598854
50898549.745331	0.93595577529244
50985111.904762	0.93612142205399
51071968.994889	0.93628850803263
51159122.525597	0.93645703492556
51246574.017094	0.93662700436607
51334325.000000	0.93679841792189
51422377.015437	0.93697127709346
51510731.615120	0.93714558331217
51599390.361446	0.93732133793863
51688354.827586	0.93749854226074
51777626.597582	0.93767719749191
51867207.266436	0.93785730476909
51957098.440208	0.93803886515083
52047301.736111	0.93822187961526
52137818.782609	0.93840634905806
52228651.219512	0.93859227429036
52319800.698080	0.93877965603659
52411268.881119	0.93896849493229
52503057.443082	0.93915879152185
52595168.070175	0.93935054625626
52687602.460457	0.93954375949073
52780362.323944	0.93973843148231
52873449.382716	0.93993456238744
52966865.371025	0.94013215225941
53060612.035398	0.94033120104584
53154691.134752	0.94053170858607
53249104.440497	0.94073367460840
53343853.736655	0.94093709872746
53438940.819964	0.94114198044130
53534367.500000	0.94134831912864
53630135.599284	0.94155611404582
53726246.953405	0.94176536432391
53822703.411131	0.94197606896559
53919506.834532	0.94218822684204
54016659.099099	0.94240183668973
54114162.093863	0.94261689710718
54212017.721519	0.94283340655156
54310227.898551	0.94305136333533
54408794.555354	0.94327076562272
54507719.636364	0.94349161142613
54607005.100182	0.94371389860254
54706652.919708	0.94393762484972
54806665.082267	0.94416278770243
54907043.589744	0.94438938452855
55007790.458716	0.94461741252503
55108907.720588	0.94484686871388
55210397.421731	0.94507774993795
55312261.623616	0.94531005285670
55414502.402957	0.94554377394182
55517121.851852	0.94577890947283
55620122.077922	0.94601545553246
55723505.204461	0.94625340800205
55827273.370577	0.94649276255680
55931428.731343	0.94673351466088
56035973.457944	0.94697565956248
56140909.737828	0.94721919228874
56246239.774859	0.94746410764056
56351965.789474	0.94771040018730
56458090.018832	0.94795806426134
56564614.716981	0.94820709395260
56671542.155009	0.94845748310280
56778874.621212	0.94870922529976
56886614.421252	0.94896231387142
56994763.878327	0.94921674187983
57103325.333333	0.94947250211498
57212301.145038	0.94972958708848
57321693.690249	0.94998798902712
57431505.363985	0.95024769986627
57541738.579654	0.95050871124316
57652395.769231	0.95077101448999
57763479.383430	0.95103460062690
57874991.891892	0.95129946035478
57986935.783366	0.95156558404795
58099313.565891	0.95183296174661
58212127.766990	0.95210158314924
58325380.933852	0.95237143760470
58439075.633528	0.95264251410426
58553214.453125	0.95291480127345
58667800.000000	0.95318828736362
58782834.901961	0.95346296024347
58898321.807466	0.95373880739032
59014263.385827	0.95401581588116
59130662.327416	0.95429397238358
59247521.343874	0.95457326314644
59364843.168317	0.95485367399037
59482630.555556	0.95513519029806
59600886.282306	0.95541779700434
59719613.147410	0.95570147858604
59838813.972056	0.95598621905163
59958491.600000	0.95627200193064
60078648.897796	0.95655881026284
60199288.755020	0.95684662658725
60320414.084507	0.95713543293079
60442027.822581	0.95742521079680
60564132.929293	0.95771594115325
60686732.388664	0.95800760442077
60809829.208925	0.95830018046028
60933426.422764	0.95859364856053
61057527.087576	0.95888798742525
61182134.285714	0.95918317516007
61307251.124744	0.95947918925914
61432880.737705	0.95977600659151
61559026.283368	0.96007360338718
61685690.946502	0.96037195522285
61812877.938144	0.96067103700737
61940590.495868	0.96097082296693
62068831.884058	0.96127128662987
62197605.394191	0.96157240081119
62326914.345114	0.96187413759673
62456762.083333	0.96217646832706
62587151.983299	0.96247936358096
62718087.447699	0.96278279315859
62849571.907757	0.96308672606431
62981608.823529	0.96339113048913
63114201.684211	0.96369597379276
63247354.008439	0.96400122248538
63381069.344609	0.96430684220890
63515351.271186	0.96461279771792
63650203.397028	0.96491905286030
63785629.361702	0.96522557055722
63921632.835821	0.96553231278297
64058217.521368	0.96583924054421
64195387.152034	0.96614631385886
64333145.493562	0.96645349173453
64471496.344086	0.96676073214652
64610443.534483	0.96706799201535
64749990.928726	0.96737522718382
64890142.424242	0.96768239239368
65030901.952278	0.96798944126171
65172273.478261	0.96829632625540
65314261.002179	0.96860299866806
65456868.558952	0.96890940859354
65600100.218818	0.96921550490029
65743960.087719	0.96952123520503
65888452.307692	0.96982654584583
66033581.057269	0.97013138185464
66179350.551876	0.97043568692928
66325765.044248	0.97073940340494
66472828.824834	0.97104247222498
66620546.222222	0.97134483291127
66768921.603563	0.97164642353390
66917959.375000	0.97194718068030
67067663.982103	0.97224703942374
67218039.910314	0.97254593329122
67369091.685393	0.97284379423080
67520823.873874	0.97314055257816
67673241.083521	0.97343613702266
67826347.963801	0.97373047457269
67980149.206349	0.97402349052029
68134649.545455	0.97431510840525
68289853.758542	0.97460524997835
68445766.666667	0.97489383516408
68602393.135011	0.97518078202253
68759738.073394	0.97546600671064
68917806.436782	0.97574942344272
69076603.225806	0.97603094445018
69236133.487298	0.97631047994066
69396402.314815	0.97658793805625
69557414.849188	0.97686322483107
69719176.279070	0.97713624414805
69881691.841492	0.97740689769492
70044966.822430	0.97767508491944
70209006.557377	0.97794070298386
70373816.431925	0.97820364671850
70539401.882353	0.97846380857463
70705768.396226	0.97872107857649
70872921.513002	0.97897534427248
71040866.824645	0.97922649068550
71209609.976247	0.97947440026257
71379156.666667	0.97971895282346
71549512.649165	0.97996002550859
71720683.732057	0.98019749272606
71892675.779377	0.98043122609773
72065494.711538	0.98066109440462
72239146.506024	0.98088696353127
72413637.198068	0.98110869640937
72588972.881356	0.98132615296044
72765159.708738	0.98153919003768
72942203.892944	0.98174766136696
73120111.707317	0.98195141748691
73298889.486553	0.98215030568816
73478543.627451	0.98234416995173
73659080.589681	0.98253285088655
73840506.896552	0.98271618566607
74022829.135802	0.98289400796413
74206053.960396	0.98306614788987
74390188.089330	0.98323243192183
74575238.308458	0.98339268284129
74761211.471322	0.98354671966468
74948114.500000	0.98369435757526
75135954.385965	0.98383540785397
75324738.190955	0.98396967780948
75514473.047859	0.98409697070753
75705166.161616	0.98421708569946
75896824.810127	0.98432981775004
76089456.345178	0.98443495756458
76283068.193384	0.98453229151539
76477667.857143	0.98462160156752
76673262.915601	0.98470266520395
76869861.025641	0.98477525535009
77067469.922879	0.98483914029776
77266097.422680	0.98489408362868
77465751.421189	0.98493984413737
77666439.896373	0.98497617575368
77868170.909091	0.98500282746487
78070952.604167	0.98501954323733
78274793.211488	0.98502606193803
78479701.047120	0.98502211725560
78685684.514436	0.98500743762139
78892752.105263	0.98498174613021
79100912.401055	0.98494476046108
79310174.074074	0.98489619279798
79520545.888594	0.98483574975065
79732036.702128	0.98476313227549
79944655.466667	0.98467803559678
80158411.229947	0.98458014912808
80373313.136729	0.98446915639414
80589370.430108	0.98434473495328
80806592.452830	0.98420655632030
81024988.648649	0.98405428589016
81244568.563686	0.98388758286249
81465341.847826	0.98370610016696
81687318.256131	0.98350948438973
81910507.650273	0.98329737570115
82134920.000000	0.98306940778468
82360565.384615	0.98282520776734
82587453.994490	0.98256439615173
82815596.132597	0.98228658674989
83045002.216066	0.98199138661898
83275682.777778	0.98167839599916
83507648.467967	0.98134720825371
83740910.055866	0.98099740981160
83975478.431373	0.98062858011277
84211364.606742	0.98024029155622
84448579.718310	0.97983210945118
84687135.028249	0.97940359197163
84927041.926346	0.97895429011423
85168311.931818	0.97848374766014
85410956.695157	0.97799150114070
85654988.000000	0.97747707980749
85900417.765043	0.97694000560682
86147258.045977	0.97637979315907
86395521.037464	0.97579594974307
86645219.075145	0.97518797528588
86896364.637681	0.97455536235822
87148970.348837	0.97389759617592
87403048.979592	0.97321415460762
87658613.450292	0.97250450818918
87915676.832845	0.97176812014501
88174252.352941	0.97100444641684
88434353.392330	0.97021293570007
