#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude]"
#-------------------------------------------------
24735351.320132	5.1814418738843e-07
24755776.878613	5.1695422079424e-07
24776236.198347	5.1575096739289e-07
24796729.363110	5.1453475631615e-07
24817256.456954	5.1330591492663e-07
24837817.564209	5.1206476868833e-07
24858412.769486	5.1081164104175e-07
24879042.157676	5.0954685328355e-07
24899705.813953	5.0827072445079e-07
24920403.823774	5.0698357120967e-07
24941136.272879	5.0568570774886e-07
24961903.247294	5.0437744567727e-07
24982704.833333	5.0305909392635e-07
25003541.117598	5.0173095865678e-07
25024412.186978	5.0039334316959e-07
25045318.128655	4.9904654782163e-07
25066259.030100	4.9769086994538e-07
25087234.979079	4.9632660377296e-07
25108246.063652	4.9495404036442e-07
25129292.372171	4.9357346754011e-07
25150373.993289	4.9218516981716e-07
25171491.015953	4.9078942835003e-07
25192643.529412	4.8938652087490e-07
25213831.623213	4.8797672165808e-07
25235055.387205	4.8656030144809e-07
25256314.911542	4.8513752743159e-07
25277610.286678	4.8370866319287e-07
25298941.603376	4.8227396867703e-07
25320308.952703	4.8083370015653e-07
25341712.426035	4.7938811020125e-07
25363152.115059	4.7793744765185e-07
25384628.111770	4.7648195759638e-07
25406140.508475	4.7502188135005e-07
25427689.397795	4.7355745643809e-07
25449274.872666	4.7208891658158e-07
25470897.026338	4.7061649168623e-07
25492555.952381	4.6914040783395e-07
25514251.744681	4.6766088727713e-07
25535984.497445	4.6617814843564e-07
25557754.305200	4.6469240589629e-07
25579561.262799	4.6320387041489e-07
25601405.465414	4.6171274892057e-07
25623287.008547	4.6021924452250e-07
25645205.988024	4.5872355651879e-07
25667162.500000	4.5722588040754e-07
25689156.640960	4.5572640789992e-07
25711188.507719	4.5422532693526e-07
25733258.197425	4.5272282169801e-07
25755365.807560	4.5121907263652e-07
25777511.435942	4.4971425648355e-07
25799695.180723	4.4820854627841e-07
25821917.140396	4.4670211139075e-07
25844177.413793	4.4519511754581e-07
25866476.100086	4.4368772685107e-07
25888813.298791	4.4218009782432e-07
25911189.109767	4.4067238542302e-07
25933603.633218	4.3916474107480e-07
25956056.969697	4.3765731270926e-07
25978549.220104	4.3615024479068e-07
26001080.485690	4.3464367835189e-07
26023650.868056	4.3313775102905e-07
26046260.469157	4.3163259709735e-07
26068909.391304	4.3012834750746e-07
26091597.737163	4.2862512992294e-07
26114325.609756	4.2712306875817e-07
26137093.112467	4.2562228521709e-07
26159900.349040	4.2412289733252e-07
26182747.423581	4.2262502000602e-07
26205634.440559	4.2112876504828e-07
26228561.504812	4.1963424121998e-07
26251528.721541	4.1814155427307e-07
26274536.196319	4.1665080699241e-07
26297584.035088	4.1516209923773e-07
26320672.344162	4.1367552798593e-07
26343801.230228	4.1219118737355e-07
26366970.800352	4.1070916873952e-07
26390181.161972	4.0922956066801e-07
26413432.422907	4.0775244903143e-07
26436724.691358	4.0627791703359e-07
26460058.075905	4.0480604525284e-07
26483432.685512	4.0333691168525e-07
26506848.629531	4.0187059178785e-07
26530306.017699	4.0040715852178e-07
26553804.960142	3.9894668239539e-07
26577345.567376	3.9748923150728e-07
26600927.950311	3.9603487158917e-07
26624552.220249	3.9458366604875e-07
26648218.488889	3.9313567601220e-07
26671926.868327	3.9169096036669e-07
26695677.471060	3.9024957580254e-07
26719470.409982	3.8881157685527e-07
26743305.798394	3.8737701594734e-07
26767183.750000	3.8594594342960e-07
26791104.378910	3.8451840762255e-07
26815067.799642	3.8309445485725e-07
26839074.127126	3.8167412951587e-07
26863123.476703	3.8025747407204e-07
26887215.964126	3.7884452913073e-07
26911351.705566	3.7743533346788e-07
26935530.817610	3.7602992406958e-07
26959753.417266	3.7462833617096e-07
26984019.621962	3.7323060329461e-07
27008329.549550	3.7183675728871e-07
27032683.318305	3.7044682836462e-07
27057081.046931	3.6906084513421e-07
27081522.854562	3.6767883464663e-07
27106008.860759	3.6630082242478e-07
27130539.185520	3.6492683250126e-07
27155113.949275	3.6355688745391e-07
27179733.272892	3.6219100844092e-07
27204397.277677	3.6082921523551e-07
27229106.085377	3.5947152626010e-07
27253859.818182	3.5811795862007e-07
27278658.598726	3.5676852813709e-07
27303502.550091	3.5542324938193e-07
27328391.795807	3.5408213570682e-07
27353326.459854	3.5274519927742e-07
27378306.666667	3.5141245110423e-07
27403332.541133	3.5008390107360e-07
27428404.208600	3.4875955797824e-07
27453521.794872	3.4743942954730e-07
27478685.426214	3.4612352247596e-07
27503895.229358	3.4481184245455e-07
27529151.331497	3.4350439419725e-07
27554453.860294	3.4220118147027e-07
27579802.943882	3.4090220711963e-07
27605198.710866	3.3960747309841e-07
27630641.290323	3.3831698049366e-07
27656130.811808	3.3703072955269e-07
27681667.405355	3.3574871970910e-07
27707251.201479	3.3447094960816e-07
27732882.331175	3.3319741713195e-07
27758560.925926	3.3192811942387e-07
27784287.117702	3.3066305291285e-07
27810061.038961	3.2940221333704e-07
27835882.822656	3.2814559576709e-07
27861752.602230	3.2689319462903e-07
27887670.511628	3.2564500372670e-07
27913636.685289	3.2440101626371e-07
27939651.258155	3.2316122486510e-07
27965714.365672	3.2192562159844e-07
27991826.143791	3.2069419799466e-07
28017986.728972	3.1946694506838e-07
28044196.258185	3.1824385333785e-07
28070454.868914	3.1702491284457e-07
28096762.699157	3.1581011317237e-07
28123119.887430	3.1459944346628e-07
28149526.572770	3.1339289245085e-07
28175982.894737	3.1219044844821e-07
