freq	mu_eff
2.7000000000000	18.568730
2.7100000000000	18.290549
2.7200000000000	18.018708
2.7300000000000	17.753042
2.7400000000000	17.493390
2.7500000000000	17.239594
2.7600000000000	16.991503
2.7700000000000	16.748970
2.7800000000000	16.511851
2.7900000000000	16.280008
2.8000000000000	16.053306
2.8100000000000	15.831613
2.8200000000000	15.614803
2.8300000000000	15.402753
2.8400000000000	15.195342
2.8500000000000	14.992455
2.8600000000000	14.793978
2.8700000000000	14.599802
2.8800000000000	14.409821
2.8900000000000	14.223931
2.9000000000000	14.042032
2.9100000000000	13.864026
2.9200000000000	13.689820
2.9300000000000	13.519321
2.9400000000000	13.352441
2.9500000000000	13.189093
2.9600000000000	13.029193
2.9700000000000	12.872659
2.9800000000000	12.719413
2.9900000000000	12.569378
3.0000000000000	12.422479
3.0100000000000	12.278644
3.0200000000000	12.137803
3.0300000000000	11.999887
3.0400000000000	11.864831
3.0500000000000	11.732571
3.0600000000000	11.603043
3.0700000000000	11.476189
3.0800000000000	11.351948
3.0900000000000	11.230265
3.1000000000000	11.111085
3.1100000000000	10.994353
3.1200000000000	10.880017
3.1300000000000	10.768029
3.1400000000000	10.658338
3.1500000000000	10.550898
3.1600000000000	10.445662
3.1700000000000	10.342587
3.1800000000000	10.241629
3.1900000000000	10.142747
3.2000000000000	10.045900
3.2100000000000	9.951048
3.2200000000000	9.858155
3.2300000000000	9.767183
3.2400000000000	9.678096
3.2500000000000	9.590861
3.2600000000000	9.505444
3.2700000000000	9.421813
3.2800000000000	9.339936
3.2900000000000	9.259783
3.3000000000000	9.181325
3.3100000000000	9.104534
3.3200000000000	9.029383
3.3300000000000	8.955844
3.3400000000000	8.883892
3.3500000000000	8.813503
3.3600000000000	8.744652
3.3700000000000	8.677316
3.3800000000000	8.611472
3.3900000000000	8.547100
3.4000000000000	8.484177
3.4100000000000	8.422683
3.4200000000000	8.362598
3.4300000000000	8.303902
3.4400000000000	8.246578
3.4500000000000	8.190606
3.4600000000000	8.135968
3.4700000000000	8.082648
3.4800000000000	8.030627
3.4900000000000	7.979890
3.5000000000000	7.930420
3.5100000000000	7.882200
3.5200000000000	7.835214
3.5300000000000	7.789447
3.5400000000000	7.744883
3.5500000000000	7.701506
3.5600000000000	7.659302
3.5700000000000	7.618253
3.5800000000000	7.578346
3.5900000000000	7.539563
3.6000000000000	7.501890
3.6100000000000	7.465311
3.6200000000000	7.429810
3.6300000000000	7.395370
3.6400000000000	7.361976
3.6500000000000	7.329611
3.6600000000000	7.298258
3.6700000000000	7.267899
3.6800000000000	7.238518
3.6900000000000	7.210098
3.7000000000000	7.182619
3.7100000000000	7.156065
3.7200000000000	7.130416
3.7300000000000	7.105653
3.7400000000000	7.081759
3.7500000000000	7.058713
3.7600000000000	7.036496
3.7700000000000	7.015088
3.7800000000000	6.994470
3.7900000000000	6.974622
3.8000000000000	6.955523
3.8100000000000	6.937153
3.8200000000000	6.919492
3.8300000000000	6.902520
3.8400000000000	6.886216
3.8500000000000	6.870560
3.8600000000000	6.855532
3.8700000000000	6.841112
3.8800000000000	6.827279
3.8900000000000	6.814015
3.9000000000000	6.801300
3.9100000000000	6.789113
3.9200000000000	6.777437
3.9300000000000	6.766252
3.9400000000000	6.755541
3.9500000000000	6.745284
3.9600000000000	6.735464
3.9700000000000	6.726064
3.9800000000000	6.717066
3.9900000000000	6.708455
4.0000000000000	6.700213
4.0100000000000	6.692325
4.0200000000000	6.684775
4.0300000000000	6.677549
4.0400000000000	6.670632
4.0500000000000	6.664010
4.0600000000000	6.657668
4.0700000000000	6.651595
4.0800000000000	6.645776
4.0900000000000	6.640200
4.1000000000000	6.634854
4.1100000000000	6.629728
4.1200000000000	6.624808
4.1300000000000	6.620086
4.1400000000000	6.615550
4.1500000000000	6.611191
4.1600000000000	6.606998
4.1700000000000	6.602962
4.1800000000000	6.599075
4.1900000000000	6.595328
4.2000000000000	6.591712
4.2100000000000	6.588220
4.2200000000000	6.584844
4.2300000000000	6.581576
4.2400000000000	6.578410
4.2500000000000	6.575339
4.2600000000000	6.572356
4.2700000000000	6.569456
4.2800000000000	6.566631
4.2900000000000	6.563877
4.3000000000000	6.561188
4.3100000000000	6.558559
4.3200000000000	6.555985
4.3300000000000	6.553460
4.3400000000000	6.550981
4.3500000000000	6.548543
4.3600000000000	6.546142
4.3700000000000	6.543774
4.3800000000000	6.541435
4.3900000000000	6.539121
4.4000000000000	6.536828
4.4100000000000	6.534555
4.4200000000000	6.532296
4.4300000000000	6.530050
4.4400000000000	6.527813
4.4500000000000	6.525582
4.4600000000000	6.523356
4.4700000000000	6.521130
4.4800000000000	6.518904
4.4900000000000	6.516674
4.5000000000000	6.514438
4.5100000000000	6.512195
4.5200000000000	6.509943
4.5300000000000	6.507678
4.5400000000000	6.505400
4.5500000000000	6.503108
4.5600000000000	6.500798
4.5700000000000	6.498471
4.5800000000000	6.496123
4.5900000000000	6.493754
4.6000000000000	6.491363
4.6100000000000	6.488949
4.6200000000000	6.486509
4.6300000000000	6.484043
4.6400000000000	6.481551
4.6500000000000	6.479030
4.6600000000000	6.476480
4.6700000000000	6.473900
4.6800000000000	6.471289
4.6900000000000	6.468647
4.7000000000000	6.465972
4.7100000000000	6.463265
4.7200000000000	6.460523
4.7300000000000	6.457747
4.7400000000000	6.454936
4.7500000000000	6.452090
4.7600000000000	6.449208
4.7700000000000	6.446289
4.7800000000000	6.443333
4.7900000000000	6.440340
4.8000000000000	6.437309
4.8100000000000	6.434240
4.8200000000000	6.431133
4.8300000000000	6.427987
