freq	epsilon_Re	epsilon_Im
2.7000000000000	-6.4742266422545	4.7522897125818
2.7100000000000	-6.3904439428889	4.8265734603534
2.7200000000000	-6.3082450267826	4.8997733028457
2.7300000000000	-6.2276070337417	4.9719020086146
2.7400000000000	-6.1485075600157	5.0429720936182
2.7500000000000	-6.0709246450129	5.1129958176804
2.7600000000000	-5.9948367578903	5.1819851814402
2.7700000000000	-5.9202227840530	5.2499519237977
2.7800000000000	-5.8470620116043	5.3169075198630
2.7900000000000	-5.7753341177811	5.3828631794095
2.8000000000000	-5.7050191554113	5.4478298458326
2.8100000000000	-5.6360975394272	5.5118181956068
2.8200000000000	-5.5685500334660	5.5748386382370
2.8300000000000	-5.5023577365902	5.6369013166908
2.8400000000000	-5.4375020701536	5.6980161083037
2.8500000000000	-5.3739647648409	5.7581926261397
2.8600000000000	-5.3117278479043	5.8174402207940
2.8700000000000	-5.2507736306196	5.8757679826195
2.8800000000000	-5.1910846959809	5.9331847443613
2.8900000000000	-5.1326438866521	5.9896990841766
2.9000000000000	-5.0754342931915	6.0453193290256
2.9100000000000	-5.0194392425620	6.1000535584090
2.9200000000000	-4.9646422869403	6.1539096084360
2.9300000000000	-4.9110271928347	6.2068950761997
2.9400000000000	-4.8585779305202	6.2590173244423
2.9500000000000	-4.8072786637980	6.3102834864898
2.9600000000000	-4.7571137400857	6.3607004714363
2.9700000000000	-4.7080676808428	6.4102749695596
2.9800000000000	-4.6601251723332	6.4590134579496
2.9900000000000	-4.6132710567303	6.5069222063311
3.0000000000000	-4.5674903235626	6.5540072830642
3.0100000000000	-4.5227681015032	6.6002745613045
3.0200000000000	-4.4790896505010	6.6457297253086
3.0300000000000	-4.4364403542547	6.6903782768662
3.0400000000000	-4.3948057130261	6.7342255418470
3.0500000000000	-4.3541713367927	6.7772766768452
3.0600000000000	-4.3145229387362	6.8195366759088
3.0700000000000	-4.2758463290636	6.8610103773404
3.0800000000000	-4.2381274091601	6.9017024705550
3.0900000000000	-4.2013521660670	6.9416175029844
3.1000000000000	-4.1655066672838	6.9807598870140
3.1100000000000	-4.1305770558892	7.0191339069422
3.1200000000000	-4.0965495459767	7.0567437259501
3.1300000000000	-4.0634104184015	7.0935933930707
3.1400000000000	-4.0311460168324	7.1296868501479
3.1500000000000	-3.9997427441063	7.1650279387745
3.1600000000000	-3.9691870588781	7.1996204071998
3.1700000000000	-3.9394654725625	7.2334679171971
3.1800000000000	-3.9105645465624	7.2665740508828
3.1900000000000	-3.8824708897779	7.2989423174765
3.2000000000000	-3.8551711563907	7.3305761599958
3.2100000000000	-3.8286520439191	7.3614789618758
3.2200000000000	-3.8029002915368	7.3916540535056
3.2300000000000	-3.7779026786506	7.4211047186752
3.2400000000000	-3.7536460237299	7.4498342009232
3.2500000000000	-3.7301171833835	7.4778457097800
3.2600000000000	-3.7073030516754	7.5051424268982
3.2700000000000	-3.6851905596754	7.5317275120642
3.2800000000000	-3.6637666752363	7.5576041090838
3.2900000000000	-3.6430184029913	7.5827753515357
3.3000000000000	-3.6229327845663	7.6072443683877
3.3100000000000	-3.6034968989974	7.6310142894684
3.3200000000000	-3.5846978633496	7.6540882507894
3.3300000000000	-3.5665228335272	7.6764693997140
3.3400000000000	-3.5489590052692	7.6981608999649
3.3500000000000	-3.5319936153235	7.7191659364691
3.3600000000000	-3.5156139427901	7.7394877200320
3.3700000000000	-3.4998073106276	7.7591294918411
3.3800000000000	-3.4845610873146	7.7780945277905
3.3900000000000	-3.4698626886577	7.7963861426266
3.4000000000000	-3.4556995797381	7.8140076939094
3.4100000000000	-3.4420592769909	7.8309625857874
3.4200000000000	-3.4289293504051	7.8472542725828
3.4300000000000	-3.4162974258406	7.8628862621852
3.4400000000000	-3.4041511874503	7.8778621192516
3.4500000000000	-3.3924783802020	7.8921854682107
3.4600000000000	-3.3812668124895	7.9058599960699
3.4700000000000	-3.3705043588270	7.9188894550245
3.4800000000000	-3.3601789626163	7.9312776648680
3.4900000000000	-3.3502786389808	7.9430285152026
3.5000000000000	-3.3407914776567	7.9541459674501
3.5100000000000	-3.3317056459335	7.9646340566639
3.5200000000000	-3.3230093916366	7.9744968931404
3.5300000000000	-3.3146910461434	7.9837386638339
3.5400000000000	-3.3067390274246	7.9923636335724
3.5500000000000	-3.2991418431040	8.0003761460785
3.5600000000000	-3.2918880935286	8.0077806247951
3.5700000000000	-3.2849664748413	8.0145815735190
3.5800000000000	-3.2783657820490	8.0207835768438
3.5900000000000	-3.2720749120790	8.0263913004142
3.6000000000000	-3.2660828668163	8.0314094909966
3.6100000000000	-3.2603787561151	8.0358429763647
3.6200000000000	-3.2549518007781	8.0396966650080
3.6300000000000	-3.2497913354959	8.0429755456630
3.6400000000000	-3.2448868117417	8.0456846866719
3.6500000000000	-3.2402278006138	8.0478292351737
3.6600000000000	-3.2358039956210	8.0494144161289
3.6700000000000	-3.2316052154043	8.0504455311844
3.6800000000000	-3.2276214063904	8.0509279573821
3.6900000000000	-3.2238426453704	8.0508671457151
3.7000000000000	-3.2202591420001	8.0502686195360
3.7100000000000	-3.2168612412164	8.0491379728228
3.7200000000000	-3.2136394255650	8.0474808683063
3.7300000000000	-3.2105843174353	8.0453030354640
3.7400000000000	-3.2076866811990	8.0426102683855
3.7500000000000	-3.2049374252480	8.0394084235139
3.7600000000000	-3.2023276039271	8.0357034172686
3.7700000000000	-3.1998484193607	8.0315012235540
3.7800000000000	-3.1974912231670	8.0268078711592
3.7900000000000	-3.1952475180600	8.0216294410534
3.8000000000000	-3.1931089593339	8.0159720635822
