freq	epsilon_eff
2.7000000000000	2.904508
2.7100000000000	2.930714
2.7200000000000	2.956825
2.7300000000000	2.982839
2.7400000000000	3.008749
2.7500000000000	3.034552
2.7600000000000	3.060243
2.7700000000000	3.085817
2.7800000000000	3.111270
2.7900000000000	3.136597
2.8000000000000	3.161794
2.8100000000000	3.186857
2.8200000000000	3.211781
2.8300000000000	3.236561
2.8400000000000	3.261194
2.8500000000000	3.285675
2.8600000000000	3.309999
2.8700000000000	3.334162
2.8800000000000	3.358160
2.8900000000000	3.381988
2.9000000000000	3.405642
2.9100000000000	3.429118
2.9200000000000	3.452411
2.9300000000000	3.475517
2.9400000000000	3.498432
2.9500000000000	3.521151
2.9600000000000	3.543670
2.9700000000000	3.565984
2.9800000000000	3.588090
2.9900000000000	3.609982
3.0000000000000	3.631657
3.0100000000000	3.653110
3.0200000000000	3.674336
3.0300000000000	3.695332
3.0400000000000	3.716092
3.0500000000000	3.736613
3.0600000000000	3.756889
3.0700000000000	3.776917
3.0800000000000	3.796692
3.0900000000000	3.816209
3.1000000000000	3.835463
3.1100000000000	3.854450
3.1200000000000	3.873166
3.1300000000000	3.891605
3.1400000000000	3.909763
3.1500000000000	3.927635
3.1600000000000	3.945217
3.1700000000000	3.962502
3.1800000000000	3.979488
3.1900000000000	3.996167
3.2000000000000	4.012537
3.2100000000000	4.028591
3.2200000000000	4.044324
3.2300000000000	4.059732
3.2400000000000	4.074809
3.2500000000000	4.089549
3.2600000000000	4.103948
3.2700000000000	4.118001
3.2800000000000	4.131701
3.2900000000000	4.145044
3.3000000000000	4.158024
3.3100000000000	4.170636
3.3200000000000	4.182874
3.3300000000000	4.194733
3.3400000000000	4.206206
3.3500000000000	4.217290
3.3600000000000	4.227977
3.3700000000000	4.238263
3.3800000000000	4.248143
3.3900000000000	4.257610
3.4000000000000	4.266659
3.4100000000000	4.275285
3.4200000000000	4.283483
3.4300000000000	4.291247
3.4400000000000	4.298573
3.4500000000000	4.305456
3.4600000000000	4.311890
3.4700000000000	4.317871
3.4800000000000	4.323395
3.4900000000000	4.328458
3.5000000000000	4.333055
3.5100000000000	4.337183
3.5200000000000	4.340839
3.5300000000000	4.344019
3.5400000000000	4.346720
3.5500000000000	4.348941
3.5600000000000	4.350680
3.5700000000000	4.351934
3.5800000000000	4.352704
3.5900000000000	4.352987
3.6000000000000	4.352785
3.6100000000000	4.352097
3.6200000000000	4.350925
3.6300000000000	4.349269
3.6400000000000	4.347133
3.6500000000000	4.344519
3.6600000000000	4.341430
3.6700000000000	4.337870
3.6800000000000	4.333844
3.6900000000000	4.329356
3.7000000000000	4.324412
3.7100000000000	4.319019
3.7200000000000	4.313184
3.7300000000000	4.306913
3.7400000000000	4.300216
3.7500000000000	4.293099
3.7600000000000	4.285574
3.7700000000000	4.277648
3.7800000000000	4.269332
