#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Frequency / GHz"	"S2,1 [Re]"	"S2,1 [Im]"
#-----------------------------------------
2.7000000000000	0.00019398679587714	-1.9846860805595e-05
2.7100000000000	0.00019478967711032	-1.6545834207316e-05
2.7200000000000	0.00019552525406472	-1.3237115066970e-05
2.7300000000000	0.00019619360832990	-9.9224023069060e-06
2.7400000000000	0.00019679487839878	-6.6033834729011e-06
2.7500000000000	0.00019732925876268	-3.2817323996010e-06
2.7600000000000	0.00019779699889702	4.0893056595955e-08
2.7700000000000	0.00019819840214257	3.3628532115266e-06
2.7800000000000	0.00019853382448803	6.6825286688677e-06
2.7900000000000	0.00019880367325953	9.9983223525342e-06
2.8000000000000	0.00019900840572312	1.3308661451511e-05
2.8100000000000	0.00019914852760652	1.6611999273215e-05
2.8200000000000	0.00019922459154638	1.9906817001954e-05
2.8300000000000	0.00019923719546769	2.3191625359540e-05
2.8400000000000	0.00019918698090176	2.6464966165554e-05
2.8500000000000	0.00019907463124956	2.9725413795274e-05
2.8600000000000	0.00019890086999700	3.2971576533708e-05
2.8700000000000	0.00019866645888877	3.6202097824658e-05
2.8800000000000	0.00019837219606725	3.9415657414163e-05
2.8900000000000	0.00019801891418324	4.2610972388128e-05
2.9000000000000	0.00019760747848452	4.5786798104349e-05
2.9100000000000	0.00019713878488876	4.8941929019536e-05
2.9200000000000	0.00019661375804683	5.2075199412357e-05
2.9300000000000	0.00019603334940220	5.5185484003823e-05
2.9400000000000	0.00019539853525231	5.8271698476744e-05
2.9500000000000	0.00019471031481734	6.1332799896246e-05
2.9600000000000	0.00019396970832144	6.4367787033662e-05
2.9700000000000	0.00019317775509156	6.7375700596371e-05
2.9800000000000	0.00019233551167834	7.0355623366395e-05
2.9900000000000	0.00019144405000374	7.3306680250806e-05
3.0000000000000	0.00019050445553919	7.6228038247148e-05
3.0100000000000	0.00018951782551839	7.9118906327296e-05
3.0200000000000	0.00018848526718802	8.1978535243283e-05
3.0300000000000	0.00018740789609978	8.4806217258763e-05
3.0400000000000	0.00018628683444658	8.7601285809882e-05
3.0500000000000	0.00018512320944551	9.0363115099376e-05
3.0600000000000	0.00018391815177002	9.3091119627813e-05
3.0700000000000	0.00018267279403326	9.5784753665890e-05
3.0800000000000	0.00018138826932439	9.8443510671733e-05
3.0900000000000	0.00018006570979941	0.00010106692265713
3.1000000000000	0.00017870624532767	0.00010365455950662
3.1100000000000	0.00017731100219511	0.00010620602825333
3.1200000000000	0.00017588110186493	0.00010872097231531
3.1300000000000	0.00017441765979616	0.00011119907069625
3.1400000000000	0.00017292178432058	0.00011364003715419
3.1500000000000	0.00017139457557778	0.00011604361934172
3.1600000000000	0.00016983712450858	0.00011840959792138
3.1700000000000	0.00016825051190620	0.00012073778565948
3.1800000000000	0.00016663580752486	0.00012302802650156
3.1900000000000	0.00016499406924518	0.00012528019463292
3.2000000000000	0.00016332634229550	0.00012749419352679
3.2100000000000	0.00016163365852831	0.00012966995498352
3.2200000000000	0.00015991703575060	0.00013180743816315
3.2300000000000	0.00015817747710718	0.00013390662861411
